batch_number,Type,Average,std
34252,PSS,2.333340425531915,0.06140290199760947
34254,PSS,2.357818181818182,0.03154249978884521
34331,2S,2.3276944444444445,0.04024483600906863
34340,PSS,2.330425,0.05391916433005326
34341,PSS,2.3224736842105265,0.04242815029448133
34343,PSS,2.3237,0.05696926746849949
34346,2S,2.361,
34348,2S,2.333090909090909,0.019054944478819898
34352,2S,2.342,0.01668831926827861
34353,2S,2.313,0.0555720978955819
34354,2S,2.34075,0.025815819214952924
34357,2S,2.3316470588235294,0.03347562765742902
34359,2S,2.3366785714285716,0.10900120745896914
35494,PSP,2.838888888888889,0.02537441843887475
35495,PSP,2.855153846153846,0.022839462026086024
35496,PSP,3.21090625,0.08895100477228991
35499,PSP,2.9422249999999996,0.03271750687950195
35500,PSP,3.0815,0.030076093971315977
35501,PSP,3.0545,0.025878838569655453
35713,PSS,2.332857142857143,0.014016996485559657
35714,PSS,2.337111111111111,0.010469532516359728
35717,2S,2.3192500000000003,0.03260915734662813
35718,2S,2.30225,0.03343543885503176
35719,2S,2.314125,0.019097026694525784
35722,2S,2.22275,0.023717082451262847
35952,2S,2.352375,0.022045002673103605
35953,2S,2.5077142857142856,0.03552449039732183
35957,2S,2.2884583333333333,0.029401240977456947
35958,2S,2.28025,0.028587876218191942
35959,2S,2.345142857142857,0.017013999837668596
35960,2S,2.308777777777778,0.029183804488867468
35961,2S,2.2922000000000002,0.015504837954651497
35962,2S,2.3346,0.014953260514014927
35963,2S,2.347857142857143,0.024491009040248365
36236,PSS,2.337818181818182,0.022417931134777833
36237,PSS,2.247818181818182,0.22543682848275626
36238,2S,2.293375,0.029966350175774474
36239,2S,2.35175,0.02684647711215261
36240,2S,2.34295,0.027863341319261787
36241,2S,2.35535,0.030401307104863207
36245,2S,2.347375,0.025828763036583838
36246,2S,2.294166666666667,0.03876811404578082
36696,PSS,2.3444285714285718,0.027379171784753683
36697,PSS,2.332142857142857,0.019911709883287037
36698,2S,2.31875,0.03998799161853725
36699,2S,2.3091052631578948,0.08453131880935677
36700,2S,2.3186,0.025948126390125077
36701,2S,2.30125,0.1115266666247182
36702,2S,2.344,0.010056980518170283
36703,2S,2.3257272727272724,0.019524809392621023
36704,2S,2.3079,0.020024706961373668
36705,2S,2.339,0.018384776310850226
36706,2S,2.2840000000000003,0.043026154836331855
36795,2S,2.28225,0.04231767614467647
36796,2S,2.296625,0.026202167304033692
36797,2S,2.33225,0.035317943638569126
36798,2S,2.2224,0.2958093229692998
36799,2S,2.3398,0.012699956255392764
36800,2S,2.2972,0.01893089927521734
36801,2S,2.2784,0.02621650745537805
36802,2S,2.3308,0.02199665046271703
36803,2S,2.289125,0.019595492679015017
37079,2S,2.3441875000000003,0.021744635353729464
37081,2S,2.32385,0.03632495879665867
37083,2S,2.341555555555556,0.009606132300659691
37084,2S,2.331888888888889,0.015161171165550146
37085,2S,2.373888888888889,0.016034684627740953
37086,2S,2.3520000000000003,0.018283482006601313
37087,2S,2.308375,0.022765497076560136
37088,2S,2.278,0.03993327768499182
37398,PSS,2.277875,0.027393625431580155
37399,PSS,2.235625,0.0540870660535927
37400,2S,2.460714285714286,0.01730463953541217
37401,2S,2.454182142857143,0.01597015397959185
37402,2S,2.2245,0.02871797733515054
37403,2S,2.32125,0.014139610016848795
37404,2S,2.26755,0.1661874258971352
37405,2S,2.3252272727272727,0.01959818217561873
37406,2S,2.307875,0.02425128862555559
37407,2S,2.3475,0.021078086115340577
37408,2S,2.4570235714285715,0.01383389016267537
37895,PSS,2.222125,0.01856600195441743
37896,PSS,2.319375,0.031636044090787914
37897,2S,2.4531807142857143,0.015761160375227054
37898,2S,2.332555555555556,0.06223127851927676
37899,2S,2.3019374999999997,0.038694476349990965
37900,2S,2.345,0.012351980754981286
37901,2S,2.36075,0.013698279349715977
37903,2S,2.25025,0.01698528775146303
37904,2S,2.4608064285714284,0.01611307715784001
37905,2S,2.4564914285714288,0.013624830758097936
37906,2S,2.34245,0.03195140224251759
37907,2S,2.3626875,0.04845853038079741
38194,2S,2.341285714285714,0.025856748221140046
38195,2S,2.35675,0.030022610527020065
38196,2S,2.463837857142857,0.013558412760843611
38197,2S,2.3004375,0.1378361194801033
38198,2S,2.359428571428572,0.022773208988173872
38199,2S,2.4655042857142857,0.010769374465289291
38200,2S,2.3888125,0.01632265807602009
38201,2S,2.2848888888888887,0.16300954300626416
38202,2S,2.361125,0.049501623350004555
38212,PSS,2.365125,0.019357076963514557
38213,PSS,2.3514285714285714,0.019973792352790117
38691,2S,2.3994999999999997,0.029937713116847554
38693,2S,2.34275,0.028544451549919733
38694,2S,2.389625,0.14915182820583486
38695,2S,2.355,0.0396700678813924
38696,2S,2.359,0.05805744281887261
38711,PSS,2.36525,0.023328400839197877
38712,PSS,2.3357777777777775,0.025965034306465858
38713,2S,2.3225,0.020880613017821143
38714,2S,2.4582014285714284,0.012497791101533894
38715,2S,2.456457142857143,0.012279411429500425
38716,2S,2.3275,0.013202272531651542
38868,2S,2.384125,0.025554842985234836
38869,2S,2.46689,0.016094188153109493
38870,2S,2.4562964285714286,0.015191760726000252
38871,2S,2.33325,0.024847535089018376
38872,2S,2.4578175,0.006795618073435203
38873,2S,2.3688333333333333,0.04007201850002899
38874,2S,2.3505000000000003,0.03469870314579505
38875,2S,2.354,0.03745931125901814
