batch_number,Type,Average,std
34252,PSS,2.0885490196078433,0.7922679676403809
34254,PSS,1.9855849056603774,0.06403737909709876
34330,2S,2.4760833333333334,0.16371535148560937
34331,2S,1.945974358974359,0.048936310477302083
34332,2S,2.6166666666666667,0.059374074323347376
34340,PSS,2.04085,0.07531525197121222
34341,PSS,2.065571428571429,0.18212201561433622
34343,PSS,1.709842105263158,0.6966515483373689
34346,2S,2.5585128205128203,0.1228021240590499
34348,2S,2.5788076923076924,0.04110768223168921
34352,2S,2.6174444444444447,0.010174860086398053
34353,2S,2.148892857142857,0.48952927800200474
34354,2S,2.6113939393939396,0.007656449054307867
34357,2S,2.62348275862069,0.013579450571820318
34359,2S,2.089538461538462,0.10156071317954823
35494,PSP,3.1415,0.0657609306503489
35495,PSP,3.0372,0.09186511851622463
35500,PSP,2.56515,0.19228905735622967
35501,PSP,2.62045,0.08112918548119472
35713,PSS,2.609666666666667,0.008582928793055826
35714,PSS,2.6095,0.005522680508593605
35717,2S,1.85995,0.4030634630714596
35718,2S,1.949125,0.03747332384510348
35719,2S,2.624,0.005656854249492385
35722,2S,1.9998125,0.09542202313931514
35952,2S,1.98175,0.02845471933847856
35959,2S,2.6078333333333337,0.007172250446727804
35960,2S,2.6210555555555555,0.01806352262636498
35961,2S,2.6214,0.02066627051120022
35962,2S,2.6179,0.006552621010348518
35963,2S,2.0248823529411766,0.04193429734856222
36236,PSS,2.60575,0.012034489908941607
36237,PSS,2.6325,0.015652475842498566
36238,2S,1.996388888888889,0.029909941075893166
36245,2S,1.9725294117647059,0.04545480949121169
36246,2S,2.2540555555555555,0.1983311171403616
36696,PSS,2.0861666666666667,0.14702310742753008
36697,PSS,2.481,0.6743054451310128
36702,2S,2.60325,0.005603570290449018
36703,2S,2.6198,0.049285363535470986
36704,2S,2.61225,0.028123240685715294
36705,2S,2.61005,0.009506092229390705
36706,2S,2.2805,0.15485638507985414
36797,2S,1.746,
36798,2S,2.6082777777777775,0.004932551607381014
36799,2S,2.6115500000000003,0.012215068347612315
37083,2S,2.6116666666666664,0.004214819792393538
37084,2S,2.6177894736842107,0.011867691656895963
37085,2S,2.6071176470588235,0.004702158453056117
37086,2S,2.6279375,0.01171590798871346
37398,PSS,2.7689333333333335,2.982308465090823
37399,PSS,2.2014444444444443,0.42776310941662293
37400,2S,2.7937857142857143,0.010941653449994634
37401,2S,2.8714285714285714,0.12594303613796343
37402,2S,2.09512,1.017540716630052
37403,2S,2.5228823529411764,0.5050680501616764
37406,2S,2.067066666666667,0.20995933846705597
37407,2S,2.067285714285714,0.1805646820272568
37408,2S,2.7617857142857143,0.009744257254945023
37895,PSS,2.1410625,0.038646205074582315
37896,PSS,2.0981875,0.030779254376933858
37897,2S,2.765857142857143,0.018007934759036438
37900,2S,2.64675,0.04867374377766032
37901,2S,2.6205,0.013185851002747823
37903,2S,2.1583125,0.0555850324577879
37904,2S,2.766785714285714,0.017075301873347146
37905,2S,2.7775,0.010732767941789501
38194,2S,2.612642857142857,0.01609876795504322
38195,2S,2.6077500000000002,0.005938574464184756
38196,2S,2.8167142857142857,0.06604127913245289
38198,2S,2.6205714285714286,0.024056709557320494
38199,2S,2.7737142857142856,0.011438320018043095
38201,2S,2.620125,0.008647735734475949
38202,2S,2.1580625,0.06518534472307924
38212,PSS,2.130625,0.04434843101320873
38213,PSS,2.6159285714285714,0.006821507680342067
38693,2S,2.1260625,0.03372134586084399
38694,2S,2.1266875,0.015537991075639815
38695,2S,2.1785625,0.09002219633697754
38696,2S,2.1121000000000003,0.007939905872436932
38711,PSS,2.591,0.003847076812334264
38713,2S,2.17025,0.11443571703508171
38714,2S,2.7662857142857145,0.01832370709649763
38715,2S,2.801285714285714,0.016794818667253693
38716,2S,2.6175,0.014456832294800824
38869,2S,2.807714285714286,0.018390752573502245
38870,2S,2.7958571428571433,0.01066884135340742
38872,2S,2.7855,0.00741619848709554
38873,2S,2.1437999999999997,0.05367142836018273
38874,2S,2.1415,0.021639610146042966
38875,2S,2.1041,0.014317433041187605
38876,2S,2.791,0.013711309200802022
38877,2S,2.6105,0.006387487769068418
38881,2S,2.7885,0.010606601717797986
38882,2S,2.7835,0.018007477079514285
38883,2S,2.7932142857142854,0.01712478442954071
38884,2S,2.876,0.10070520573206952
38920,PSS,2.6324375,0.03062236383211898
38921,PSS,2.617142857142857,0.006561626707985242
38922,PSS,2.6100625,0.016286881223856336
39478,PSS,2.6064375,0.004857554254286149
39479,PSS,2.8064285714285715,0.014799762397855165
39484,2S,2.8299285714285713,0.015127480270708128
39485,2S,2.620416666666667,0.010841488771745149
39487,2S,2.8120000000000003,0.040329412820688554
39488,2S,2.6156666666666664,0.007923880286064377
39547,PSS,2.8022142857142858,0.014159414217721364
39563,PSS,2.183375,0.05229388109521033
39564,2S,2.1551666666666667,0.0423810277736574
39565,2S,1.9824342191666666,0.6149439666675909
39566,2S,2.1418749999999998,0.010868149183125269
39567,2S,2.1720625,0.03253197145373552
39568,2S,2.6020714285714286,0.00567673098933464
39569,2S,2.0913999999999997,0.10795801653111883
39570,2S,2.12125,0.00895823643358446
39571,2S,2.129,0.03602776706930351
39572,2S,2.2235,0.07122008143775169
41352,2S,2.218,0.07127812728019321
41353,2S,2.6108125,0.009049631668379342
41354,2S,2.1805,0.07240102962602873
41355,2S,2.60925,0.024230834350746785
41356,2S,2.7914285714285714,0.012574175524060854
41357,2S,2.768785714285714,0.008954402195642102
41727,PSS,2.1530625,0.014784986754587651
41728,PSS,2.6024375,0.005072392597844361
41729,PSS,2.1188124999999998,0.02644042044547197
41730,2S,2.775857142857143,0.026780754119493943
41731,2S,2.7893999999999997,0.014607456239119208
41732,2S,2.7765714285714287,0.00818736630626524
41736,2S,2.597,0.01951223392457342
41737,2S,2.62,0.08845262385405349
41738,2S,2.6035,0.00239317210565237
41739,2S,2.6056666666666666,0.007414155175722821
41740,2S,2.779,0.014452988925785911
41741,2S,2.7976428571428573,0.044801454548600586
41742,2S,2.613357142857143,0.030595643588481818
41743,2S,2.6005833333333332,0.005991787308601266
41746,2S,2.6105,0.007549834435270843
41748,2S,2.7804285714285717,0.013107333741161742
41749,2S,2.7907,0.025086738417826264
41750,2S,2.7824999999999998,0.014057421922639696
41751,2S,2.1263333333333336,0.04961365892085728
41752,2S,2.171375,0.05583293532196455
41753,2S,2.2076875,0.06179721541730927
41754,2S,2.1694166666666663,0.01724401521125694
41755,2S,2.1804375,0.03400386007499743
41756,2S,2.817357142857143,0.014616150934218962
41757,2S,2.837142857142857,0.01577659972557778
41758,2S,2.7897857142857143,0.013480347926510695
42240,PSS,2.071600285,0.5461486818623352
42245,2S,2.633666666666667,0.03497890520762216
42246,2S,2.6295714285714284,0.03191265552124422
42247,2S,2.1659375,0.0399991145735336
42248,2S,2.609625,0.009687620966986745
42249,2S,2.192,0.05185235449491829
42250,2S,2.6040625,0.00712244106094711
42251,2S,2.138125,0.04343404962315461
42253,2S,2.7923999999999998,0.015707040176656917
42254,2S,2.8664,0.09278433775876904
42255,2S,2.8352,0.07105834848129303
42256,2S,2.2076875,0.05719174619937155
42257,2S,2.25225,0.1654232954171409
42258,PSP,2.6330714285714287,0.9010430250365591
42259,PSP,2.72575,1.0108796499419042
42649,PSS,2.610125,0.012457260265938505
42651,2S,2.6006875000000003,0.008646531096341375
42652,2S,2.598125,0.009322910847297954
42657,2S,2.8954999999999997,0.10744784065554067
42658,2S,2.9738571428571428,0.19692945130479797
42659,2S,2.7965714285714287,0.03064364480659841
42660,PSP,2.9771666666666667,0.22886801145347224
42899,PSS,2.6129375,0.0206412814524681
42901,2S,2.801071428571429,0.016633905530175862
42902,2S,2.17975,0.11185436960619817
42903,2S,2.1425,0.027787287261143895
42904,2S,2.156375,0.04765973143021267
42905,2S,2.14025,0.026599498742144356
42906,2S,2.813142857142857,0.01913457258816804
42907,2S,2.796357142857143,0.018383132498014595
42908,2S,2.1534999999999997,0.0224618194573223
