batch_number,Type,Average,std
34340,PSS,0.260737175,0.07962224537082377
34341,PSS,0.20248007500000004,0.0624113924357041
34343,PSS,0.22241225,0.029906746288704197
34353,2S,0.24181509375000002,0.09988004749322554
34359,2S,0.22887103571428571,0.027573569879280526
35500,PSP,0.06752231578947368,0.013853747539735842
35501,PSP,0.11034524999999999,0.06209116756145543
35717,2S,0.28091645,0.06021149803508418
35718,2S,0.311264625,0.03326712519164628
35722,2S,0.3237611875,0.0636243816276106
35952,2S,0.25207060000000003,0.0328171421979749
35963,2S,0.3638624117647059,0.07000046277798705
36238,2S,0.4997198888888889,0.08345002730968355
36245,2S,0.6287807647058824,0.06336173101380811
36246,2S,0.6603703333333333,0.05396037472507566
36696,PSS,0.5453653333333333,0.11554858378799697
36697,PSS,0.4697274375,0.1350495782612044
36700,2S,0.034174,
36706,2S,0.2853378181818182,0.09495169712524171
36795,2S,0.445331875,0.045356982306843714
36796,2S,0.416310625,0.1466876729507857
36797,2S,0.306658625,0.113003822122307
37087,2S,5.372794625,19.40043153223055
37088,2S,0.52599,0.05494506183972705
37398,PSS,0.4303504375,0.08636757507457588
37399,PSS,0.4161286,0.11736148402192507
37400,2S,0.34749614285714286,0.0221992697206883
37401,2S,0.49398114285714284,0.13122942118575107
37406,2S,0.35739706250000003,0.08488108903123927
37407,2S,0.281849125,0.11931732279646853
37408,2S,0.5204783571428572,0.10255109006404649
37895,PSS,0.206458,0.06556405349274859
37896,PSS,0.24608593750000002,0.055253787601658264
37897,2S,0.3950636428571429,0.13625635618913182
37903,2S,0.2247845625,0.030877489872006
37904,2S,0.3639479285714286,0.11760533905623914
37905,2S,0.28597778571428567,0.11013692681746981
38196,2S,0.4144225,0.07091913868489728
38199,2S,0.4624125,0.1458601701550284
38202,2S,0.3189409375,0.06171641214184846
38212,PSS,0.26007925,0.03822535121355982
38693,2S,0.27341237500000004,0.04813967405356349
38694,2S,0.233072375,0.05642942160359849
38695,2S,0.27638675,0.07166299828921478
38696,2S,0.24196279999999998,0.03265634856566339
38713,2S,0.266088125,0.032715730024714396
38714,2S,0.531634,0.15509983124922627
38715,2S,0.31835314285714283,0.057914394381650997
38869,2S,0.4340422857142857,0.08306140193803672
38870,2S,0.45703285714285713,0.12501721835064106
38872,2S,0.35351975,0.02163394980695849
38873,2S,0.2840086,0.04442993648981381
38874,2S,0.24938325000000003,0.024700858575894952
38875,2S,0.29630110000000004,0.042743178357487664
38876,2S,0.5168635,0.09130392728214298
38881,2S,0.473816,0.09532506517175852
38882,2S,0.33564192857142855,0.09929606796496121
38883,2S,0.3437778571428572,0.08840413413223575
38884,2S,0.3946307857142858,0.1753156055769044
39479,PSS,0.321902,0.08684667659289427
39484,2S,0.26390564285714285,0.07146110994488501
39487,2S,0.4182524285714286,0.1614856381867175
39547,PSS,0.2563497142857143,0.11724031885925497
39563,PSS,0.17596,0.025254814276357958
39564,2S,0.1790969166666667,0.029497272559458266
39565,2S,0.22319808333333335,0.018004155921535717
39566,2S,0.2148824375,0.02442530406216403
39567,2S,0.2286768125,0.02938039902206627
39569,2S,0.2202436,0.031548182230430384
39570,2S,0.27603750000000005,0.03399869962709359
39571,2S,0.25550575000000003,0.03848142692539203
39572,2S,0.2978418333333333,0.028768713119753316
41352,2S,0.175406375,0.023021623592598447
41354,2S,0.24977466666666667,0.06334015121595941
41356,2S,0.3539459285714286,0.15960989507616774
41357,2S,0.4677508571428572,0.17535306229734038
