batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RHO_KOHMCM
34252,PSS,EE,Brown,Right,20.0,20.01,3.478
34252,PSS,EE,Brown,Left,20.0,20.046,3.535
34252,PSS,WW,Brown,Left,20.0,20.078,3.337
34252,PSS,WW,Brown,Right,20.0,20.013,3.405
34252,PSS,EE,Brown,Left,20.0,20.036,3.981
34252,PSS,EE,Brown,Right,20.0,20.082,3.579
34252,PSS,WW,Brown,Left,20.0,20.008,3.353
34252,PSS,WW,Brown,Right,20.0,20.008,3.916
34252,PSS,EE,Brown,Left,20.0,20.007,3.712
34252,PSS,EE,Brown,Right,20.0,20.003,3.534
34252,PSS,WW,Brown,Right,20.0,20.003,3.393
34252,PSS,WW,Brown,Left,20.0,20.046,3.884
34252,PSS,EE,Brown,Left,20.0,20.07,3.476
34252,PSS,EE,Brown,Right,20.0,20.05,3.446
34252,PSS,WW,Brown,Right,20.0,20.003,3.349
34252,PSS,WW,Brown,Left,20.0,20.06,3.4
34252,PSS,EE,Brown,Right,20.0,20.013,3.349
34252,PSS,EE,Brown,Left,20.0,20.088,3.382
34252,PSS,WW,Brown,Left,20.0,20.123,3.386
34252,PSS,WW,Brown,Right,20.0,20.061,3.538
34252,PSS,EE,Brown,Left,20.0,20.075,3.388
34252,PSS,EE,Brown,Right,20.0,20.115,3.476
34252,PSS,WW,Brown,Left,20.0,20.095,3.406
34252,PSS,WW,Brown,Right,20.0,20.063,3.457
34252,PSS,EE,Brown,Left,20.0,20.027,3.203
34252,PSS,EE,Brown,Right,20.0,20.021,3.207
34252,PSS,WW,Brown,Left,20.0,20.05,3.39
34252,PSS,WW,Brown,Right,20.0,20.067,3.339
34252,PSS,EE,Brown,Right,20.0,20.104,3.317
34252,PSS,EE,Brown,Left,20.0,20.095,3.366
34252,PSS,WW,Brown,Left,20.0,20.095,3.562
34252,PSS,WW,Brown,Right,20.0,20.049,3.315
34252,PSS,EE,Brown,Right,20.0,20.066,3.463
34252,PSS,EE,Brown,Left,20.0,20.14,3.373
34252,PSS,WW,Brown,Right,20.0,20.059,3.916
34252,PSS,WW,Brown,Left,20.0,20.158,3.346
34252,PSS,WW,Brown,Left,20.0,20.124,3.493
34252,PSS,EE,Brown,Right,20.0,20.018,2.808
34252,PSS,EE,Brown,Left,20.0,20.073,2.26
34252,PSS,WW,Brown,Left,20.0,20.093,2.858
