batch_number,Type,Average,std
34252,PSS,277.16417647058825,31.97472631295283
34254,PSS,268.5463962264151,12.552619632110545
34331,2S,305.0319230769231,23.923637843183922
34332,2S,250.3819230769231,30.39336809965779
34340,PSS,236.7781,11.649933039974833
34341,PSS,239.9375142857143,12.630991538954607
34343,PSS,247.71768421052633,7.623139897547584
34346,2S,256.8928918918919,25.25577237515744
34348,2S,263.8183333333333,27.137103262167436
34352,2S,257.438,6.440880471643612
34353,2S,264.4917142857143,16.39990966067517
34354,2S,261.1009375,15.188403273417766
34357,2S,250.28655172413795,2.481311470432626
34359,2S,261.07953846153845,18.59004141196199
35494,PSP,357.093,
35495,PSP,267.63980000000004,47.13644136652659
35496,PSP,311.9707142857143,29.950821495212704
35500,PSP,233.16299999999998,24.35851962980418
35501,PSP,213.64630000000002,18.159791776860978
35713,PSS,256.94933333333336,4.452337085600045
35714,PSS,258.5051111111111,3.314803248333673
35717,2S,251.03114999999997,5.056759002354643
35718,2S,246.2725,2.011745378189464
35719,2S,262.9985,1.383807970782069
35722,2S,258.63975,17.19239970645944
35952,2S,242.2518,5.924770496110291
35953,2S,242.81444444444443,6.746473337024272
35957,2S,267.7210833333333,23.313508535903015
35958,2S,229.7098,7.5888965525769425
35959,2S,253.37105555555556,13.259944944754068
35960,2S,272.27866666666665,21.438532939271628
35961,2S,259.53000000000003,10.096815084079985
35962,2S,271.6488,10.75831972597561
35963,2S,270.42294117647054,13.77293108542345
36236,PSS,268.2297,9.126537200586222
36237,PSS,273.74785,18.893540916004493
36238,2S,312.0680555555556,18.358569156318257
36239,2S,298.8910625,6.53635993979065
36240,2S,296.36575,4.836336073767127
36241,2S,300.41525,9.135836803057803
36245,2S,306.0764705882353,23.34639835477212
36246,2S,291.1931111111111,15.595844793099781
36696,PSS,316.03766666666667,13.906818611111344
36697,PSS,278.28723076923075,71.17543314954705
36698,2S,308.31825,3.6897773556422817
36699,2S,305.28942105263155,2.351185051457848
36700,2S,222.84890000000001,26.912555173923465
36701,2S,227.67289999999997,6.187145867803159
36702,2S,235.977,15.02543449843187
36703,2S,249.65945454545457,33.29481532375848
36704,2S,238.03275,3.650724985077159
36705,2S,233.76335,6.0336963121159926
36706,2S,244.7735,2.5363920241161684
36797,2S,255.399,
36798,2S,242.66066666666666,6.441543101572152
36799,2S,255.20355,12.481616888659227
36800,2S,245.29465,3.5544935278424177
36801,2S,257.36055,6.8859770279131425
36802,2S,256.1911,7.022930411759798
36803,2S,243.59375,3.6590817700619924
37079,2S,249.709,2.797518019006606
37081,2S,256.8215,8.628093071625466
37083,2S,269.15155555555555,5.632053488447345
37084,2S,273.0785789473684,16.35134203230151
37085,2S,269.2341176470588,4.415450456668499
37086,2S,256.0713125,7.917768824770006
37398,PSS,265.5987333333333,19.138854796560057
37399,PSS,237.33825000000002,36.98790203663123
37400,2S,222.07092857142857,7.705316820364874
37401,2S,202.85864285714288,14.126626972914236
37402,2S,250.4504,9.87174971826171
37403,2S,241.39135294117648,5.32021015728204
37404,2S,246.37460000000002,6.770436131485645
37405,2S,231.79254545454543,2.541305583605419
37406,2S,240.02973333333333,13.219572034712487
37407,2S,251.01035714285715,16.48617736915544
37408,2S,212.50442857142858,8.081661031803247
37895,PSS,235.7878125,8.469707749533038
37896,PSS,233.2285,9.750990547973403
37897,2S,217.6402142857143,13.53791346937909
37898,2S,238.17216666666667,6.152081964668544
37899,2S,223.561125,6.300190133374278
37900,2S,224.5150625,24.642947065286243
37901,2S,202.4141875,16.10306034358583
37903,2S,234.8116875,9.59040108107233
37904,2S,204.33192857142856,15.69759529092218
37905,2S,202.90342857142858,11.579564584043906
37906,2S,222.7614,8.083762421311665
37907,2S,219.0076875,14.11414180514824
38194,2S,243.191,24.479724838197146
38195,2S,212.0566875,17.48186889215509
38196,2S,203.2082142857143,6.877482490860164
