batch_number,Type,Average,std
34340,PSS,0.1438692715,0.04390385743049864
34341,PSS,0.11172442,0.034435307246043115
34343,PSS,0.12263617774999999,0.01645513323349929
34353,2S,0.1334262634375,0.055089290050231006
34359,2S,0.12630679714285714,0.01525178201132961
35500,PSP,0.03725372421052632,0.007643418892739117
35501,PSP,0.060826181,0.034161650590121315
35717,2S,0.1550554525,0.03329026481081327
35718,2S,0.17174999999999999,0.01840833144711022
35722,2S,0.1786462175,0.03510959368772159
35952,2S,0.13915,0.018070840134257585
35963,2S,0.2007253988235294,0.038681032221284155
36238,2S,0.2757222222222222,0.046035543244650264
36245,2S,0.3469411764705882,0.03487741136508574
36246,2S,0.3643888888888889,0.029764050342828995
36696,PSS,0.30083333333333334,0.06386774017682259
36697,PSS,0.259035691875,0.07447782315937447
36706,2S,0.15770913363636363,0.05241678953976908
36795,2S,0.24575000000000002,0.025135632078784116
36796,2S,0.22972760312499999,0.08091996203446859
36797,2S,0.169196036875,0.062313944234448713
37087,2S,2.9642500000000003,10.703780643616847
37088,2S,0.29006666666666664,0.030242984231687444
37398,PSS,0.2375,0.04755347866700536
37399,PSS,0.22966666666666666,0.06461055493898664
37400,2S,0.18521428571428572,0.011839819199688765
37401,2S,0.2633571428571429,0.06999627148625862
37406,2S,0.19722701875,0.0467157216955808
37407,2S,0.1554744525,0.06574653516183693
37408,2S,0.2775714285714286,0.054638271013463253
37895,PSS,0.113896745,0.03621278275123541
37896,PSS,0.135898189375,0.030512535169235053
37897,2S,0.21064285714285713,0.07250634682336664
37903,2S,0.12404468625,0.017035258899559615
37904,2S,0.1940714285714286,0.06263135646931825
37905,2S,0.15264285714285714,0.05887353740513141
38196,2S,0.22107142857142859,0.03783662101866247
38199,2S,0.24657142857142858,0.07789017345518702
38202,2S,0.1760418325,0.03406128976803777
38212,PSS,0.1434375,0.02102052568324589
38693,2S,0.1506875,0.02669261758114653
38694,2S,0.128445225,0.031096419163787966
38695,2S,0.15242569625,0.03955021155556008
38696,2S,0.1336,0.01803038371311341
38713,2S,0.1468125,0.018096845949870197
38714,2S,0.2835,0.08279237237256175
38715,2S,0.16978571428571426,0.03083998047347624
38869,2S,0.23157142857142857,0.0442209735927931
38870,2S,0.24371428571428572,0.06676529334620193
38872,2S,0.18875,0.011500000000000012
38873,2S,0.1567,0.02446335127400897
38874,2S,0.13766666666666666,0.013607039176526064
38875,2S,0.1635,0.023599670430843822
38876,2S,0.275625,0.04862667551281468
38881,2S,0.253,0.050911688245431394
38882,2S,0.17907142857142858,0.05303476985136085
38883,2S,0.18342857142857144,0.047175147116829484
38884,2S,0.21042857142857144,0.09343341050075286
39479,PSS,0.17164285714285715,0.046289402579951185
39484,2S,0.1407857142857143,0.0381760669518494
39487,2S,0.223,0.08611262750250172
39547,PSS,0.1367142857142857,0.06249114222946206
39563,PSS,0.097024516875,0.013889573693396414
39564,2S,0.09877775833333334,0.016299433150322538
39565,2S,0.12316666666666666,0.009980283593468706
39566,2S,0.1185625,0.013271366420480851
39567,2S,0.126055779375,0.016169165390297863
39569,2S,0.12150000000000001,0.01732211175219568
39570,2S,0.15225,0.018786076404259253
39571,2S,0.140875,0.021263231174964918
39572,2S,0.16416666666666666,0.0159049258617155
41352,2S,0.09675739875,0.012606861107470044
41354,2S,0.13783333333333334,0.03496708408913975
41356,2S,0.1887142857142857,0.08502074730633384
41357,2S,0.2495,0.09342767667683258
41727,PSS,0.12990224,0.028127862988513243
41729,PSS,0.1424323075,0.04224288454434072
41730,2S,0.11992857142857143,0.05124370773487787
41731,2S,0.134,0.06419934232961858
41732,2S,0.1405,0.08068051904794708
41740,2S,0.21949999999999997,0.08492643875731515
41741,2S,0.18614285714285714,0.044622962600087315
41748,2S,0.20364285714285715,0.09809854318910233
41749,2S,0.2145,0.05556627674328298
41750,2S,0.2217,0.027137714633984105
41751,2S,0.16783333333333336,0.03525190731998724
41752,2S,0.1455,0.06533809506456907
41753,2S,0.118233201875,0.028001004160315923
41754,2S,0.1210000825,0.015816966152315468
41755,2S,0.104201291875,0.04236358636958242
41756,2S,0.16585714285714287,0.04796770891861627
41757,2S,0.28928571428571426,0.09647831846620221
41758,2S,0.2247142857142857,0.0677261778401466
42240,PSS,0.140653956875,0.036377964520748304
42247,2S,0.160125,0.024146428307308728
42249,2S,0.1666875,0.028046910109077366
42251,2S,0.1806875,0.026762458158148827
42253,2S,0.219,0.03372766750837589
42254,2S,0.19290000000000002,0.026484586712526466
42255,2S,0.1369,0.016332993193737228
42256,2S,0.0964375,0.013952150371896087
42257,2S,0.108,0.0445660558422364
42657,2S,0.14092857142857143,0.041159098976671346
42658,2S,0.14464285714285713,0.07249043135036953
42659,2S,0.25164285714285717,0.05820865273090637
42901,2S,0.228,0.04594813129204244
42902,2S,0.1021875,0.03774867547345205
42903,2S,0.182875,0.027738961768602657
42904,2S,0.09025,0.026898574931273466
42905,2S,0.130625,0.03315996582225823
42906,2S,0.20757142857142857,0.04242951491902467
42907,2S,0.16192857142857142,0.02437673634277719
42908,2S,0.1199375,0.03064738977466107
42909,2S,0.123625,0.0338031063661315
43264,2S,0.10771428571428572,0.06843574029299712
43266,2S,0.15535714285714283,0.05940293588038213
43269,2S,0.1789375,0.029923165496540186
43272,2S,0.17975,0.027915348227573068
43273,2S,0.15441666666666667,0.03242181738311784
43274,2S,0.11208333333333333,0.049829633996673346
43275,2S,0.19099999999999998,0.03401069350553253
43276,2S,0.1344375,0.025793975394782922
43277,2S,0.1184375,0.024592597124609133
43836,2S,0.19841666666666669,0.07370513530071679
43837,2S,0.24125,0.038586679284201404
44169,2S,0.157375,0.02921158446005055
44170,2S,0.20775,0.024137108360364964
44171,2S,0.16443750000000001,0.030854429719787944
44172,2S,0.15025,0.024106707227104528
44174,2S,0.1415,0.04187282332651255
44175,2S,0.1340625,0.0184082182733691
45777,PSS,0.105,0.024396721091163052
45779,2S,0.2105,0.08108755951249431
45780,2S,0.1920714285714286,0.06458919210102985
45781,2S,0.15357142857142855,0.05814003557157268
45789,PSP,0.041105528125,0.005413376272822989
46229,PSS,0.08915822,0.02759563905727183
46230,PSP,0.059117647058823525,0.03242854135044694
46232,PSP,0.0359375,0.009110204900732657
46798,2S,0.11271428571428573,0.08050650100020931
46805,2S,0.10378571428571429,0.0286361218136722
46806,2S,0.1274375,0.04689984896919534
46807,2S,0.1565625,0.026176245592776155
46808,2S,0.137625,0.03193509041790864
46811,PSP,0.0470625,0.015066380896994915
46969,2S,0.1832857142857143,0.11386863454905365
46970,2S,0.23814285714285716,0.08185903187126696
46971,2S,0.20685714285714285,0.026998168436045775
47345,PSS,0.1590625,0.024444409722197562
47346,PSS,0.111625,0.024800201612083718
47347,PSS,0.14606249999999998,0.02145528295470993
47348,PSS,0.18737499999999999,0.054012189982138914
47349,PSS,0.27625,0.08681052163572492
47356,2S,0.21425000000000002,0.06639704949633064
47357,2S,0.26666666666666666,0.056528887761171744
47358,2S,0.23324999999999999,0.06922443735612971
47359,2S,0.18299999999999997,0.10444137111317528
47360,2S,0.16108333333333333,0.07785938179393241
47365,2S,0.1408125,0.07527480211420906
47366,2S,0.0856875,0.02448868786467199
47369,2S,0.3142142857142857,0.12256940173533623
47370,2S,0.191,0.05019074726591655
47375,2S,0.1169375,0.0523354166252007
47376,2S,0.134125,0.024127094036925922
47991,2S,0.1541875,0.03284553495783965
47992,2S,0.1854375,0.06394369267827228
48209,PSS,0.1695,0.044509175084095506
48210,PSS,0.1911875,0.041096988940797115
48216,2S,0.1262101825,0.02457902986473238
48217,2S,0.12283071266666666,0.04978661540916601
48228,2S,0.24535714285714286,0.06975297858857371
48229,2S,0.156,0.030377116893629496
48230,2S,0.258,0.06375378776626102
48231,2S,0.3487142857142857,0.07584947499582881
48235,2S,0.166,0.013638181696985862
48236,2S,0.13214871375,0.027939508781447072
48237,2S,0.21144727562500001,0.06109277688692426
48238,2S,0.14864285714285713,0.029793151362886544
48239,2S,0.1936,0.06722962310040287
48240,2S,0.163875,0.05852392673086795
48241,2S,0.1355625,0.0492584595103555
48242,2S,0.1851875,0.0520233521283151
48243,2S,0.1393125,0.03651797502600602
48244,2S,0.23850000000000002,0.013614831484951857
48245,2S,0.28725,0.050831495247443875
48253,2S,0.1315,0.07066143546191558
48254,2S,0.1759166666666667,0.06184652313786463
48265,2S,0.271,0.12337809305607642
48266,2S,0.22341666666666668,0.10940538322581699
