batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CACC_PFRD
34252,PSS,EE,Brown,Left,20.0,20.029,86.936
34252,PSS,WW,Brown,Left,20.0,20.074,85.309
34252,PSS,EE,Brown,Left,20.0,20.051,86.646
34252,PSS,EE,Brown,Right,20.0,20.052,85.447
34252,PSS,WW,Brown,Right,20.0,20.018,86.651
34252,PSS,WW,Brown,Left,20.0,20.013,85.023
34252,PSS,EE,Brown,Left,20.0,20.002,86.779
34252,PSS,WW,Brown,Left,20.0,20.029,85.629
34252,PSS,EE,Brown,Right,20.0,20.011,85.545
34252,PSS,EE,Brown,Left,20.0,20.061,86.593
34252,PSS,WW,Brown,Left,20.0,20.032,85.01
34252,PSS,WW,Brown,Right,20.0,20.004,86.389
34252,PSS,EE,Brown,Left,20.0,20.09,86.364
34252,PSS,WW,Brown,Left,20.0,20.125,85.63
34252,PSS,EE,Brown,Left,20.0,20.045,86.953
34252,PSS,EE,Brown,Right,20.0,20.105,85.644
34252,PSS,WW,Brown,Left,20.0,20.077,85.154
34252,PSS,WW,Brown,Right,20.0,20.044,85.847
34252,PSS,EE,Brown,Right,20.0,20.006,85.62
34252,PSS,EE,Brown,Left,20.0,20.005,86.667
34252,PSS,WW,Brown,Right,20.0,20.072,86.27
34252,PSS,EE,Brown,Left,20.0,20.036,86.811
34252,PSS,WW,Brown,Left,20.0,20.073,84.746
34252,PSS,WW,Brown,Right,20.0,20.035,86.699
34252,PSS,EE,Brown,Left,20.0,20.142,86.859
34252,PSS,EE,Brown,Left,20.0,20.144,86.915
34252,PSS,EE,Brown,Right,20.0,20.102,85.587
34252,PSS,WW,Brown,Right,20.0,20.086,86.457
34252,PSS,EE,Brown,Right,20.0,20.012,85.837
34252,PSS,EE,Brown,Left,20.0,20.056,86.317
34252,PSS,WW,Brown,Left,20.0,20.085,84.931
34252,PSS,EE,Brown,Right,20.0,20.052,85.346
34252,PSS,EE,Brown,Left,20.0,20.047,86.99
34252,PSS,WW,Brown,Right,20.0,20.029,86.587
34252,PSS,WW,Brown,Left,20.0,20.074,85.262
34252,PSS,EE,Brown,Left,20.0,20.06,86.843
34252,PSS,EE,Brown,Right,20.0,20.159,84.787
34252,PSS,WW,Brown,Left,20.0,20.071,71.824
34252,PSS,WW,Brown,Right,20.0,20.007,86.536
34252,PSS,EE,Brown,Left,20.0,20.043,86.322
34252,PSS,WW,Brown,Left,20.0,20.347,85.131
34252,PSS,WW,Brown,Right,20.0,20.008,86.451
34331,2S,EE,Brown,Left,20.0,20.127,87.096
34331,2S,EE,Brown,Right,20.0,20.094,85.009
34331,2S,WW,Brown,Right,20.0,20.053,86.843
34331,2S,WW,Brown,Left,20.0,20.1,85.666
34331,2S,EE,Brown,Right,20.0,20.003,83.801
34331,2S,WW,Brown,Right,20.0,20.047,86.827
34331,2S,WW,Brown,Left,20.0,-223.677,85.537
34331,2S,EE,Brown,Right,20.0,20.018,85.082
34331,2S,EE,Brown,Right,20.0,20.023,85.037
34331,2S,WW,Brown,Right,20.0,20.078,86.17
34331,2S,WW,Brown,Right,20.0,20.071,86.57
34331,2S,EE,Brown,Right,20.0,20.134,85.158
34331,2S,EE,Brown,Right,20.0,20.133,85.12
34331,2S,EE,Brown,Right,20.0,20.023,85.422
34331,2S,EE,Brown,Right,20.0,20.006,85.321
34331,2S,EE,Brown,Right,20.0,20.107,85.362
34331,2S,EE,Brown,Right,20.0,20.103,85.357
34331,2S,WW,Brown,Right,20.0,20.059,86.72
34331,2S,WW,Brown,Right,20.0,20.05,86.755
34331,2S,EE,Brown,Right,20.0,20.115,85.55
34331,2S,EE,Brown,Right,20.0,20.004,85.557
34331,2S,WW,Brown,Right,20.0,20.02,86.17
34331,2S,WW,Brown,Right,20.0,20.018,86.187
34331,2S,EE,Brown,Right,20.0,20.08,85.53
34331,2S,EE,Brown,Right,20.0,20.077,85.546
34331,2S,WW,Brown,Left,20.0,20.091,84.728
34331,2S,WW,Brown,Left,20.0,20.019,84.738
34331,2S,EE,Brown,Right,20.0,20.043,85.513
34331,2S,EE,Brown,Right,20.0,20.002,85.428
34331,2S,WW,Brown,Right,20.0,20.003,86.725
34331,2S,WW,Brown,Right,20.0,20.002,86.71
34331,2S,EE,Brown,Right,20.0,20.004,85.623
34331,2S,EE,Brown,Right,20.0,20.003,85.639
34331,2S,WW,Brown,Right,20.0,20.003,86.528
34331,2S,WW,Brown,Right,20.0,20.003,86.542
34331,2S,EE,Brown,Right,20.0,20.002,86.527
34331,2S,EE,Brown,Right,20.0,20.019,86.524
34331,2S,WW,Brown,Left,20.0,20.014,86.057
34331,2S,WW,Brown,Left,20.0,20.055,86.044
34331,2S,EE,Brown,Right,20.0,20.005,86.237
34331,2S,EE,Brown,Right,20.0,20.004,86.254
34331,2S,WW,Brown,Right,20.0,20.001,86.465
34331,2S,WW,Brown,Right,20.0,20.002,86.447
34331,2S,EE,Brown,Right,20.0,20.005,85.81
34331,2S,EE,Brown,Right,20.0,20.013,85.852
34331,2S,WW,Brown,Right,20.0,20.067,87.132
34331,2S,WW,Brown,Right,20.0,20.064,87.145
34331,2S,EE,Brown,Right,20.0,20.139,85.836
34331,2S,EE,Brown,Right,20.0,20.139,85.832
34331,2S,WW,Brown,Right,20.0,20.054,87.135
34331,2S,WW,Brown,Right,20.0,20.085,87.009
34331,2S,EE,Brown,Left,20.0,20.092,87.441
34331,2S,WW,Brown,Left,20.0,20.071,86.434
34331,2S,EE,Brown,Left,20.0,20.106,86.291
34331,2S,WW,Brown,Right,20.0,20.074,87.171
34331,2S,WW,Brown,Right,20.0,20.066,87.185
34331,2S,EE,Brown,Right,20.0,20.01,85.64
34331,2S,EE,Brown,Left,20.0,20.086,87.058
34331,2S,WW,Brown,Left,20.0,20.068,86.733
34331,2S,WW,Brown,Left,20.0,20.078,86.739
34331,2S,EE,Brown,Right,20.0,20.104,85.462
34331,2S,WW,Brown,Right,20.0,20.154,86.867
34331,2S,WW,Brown,Left,20.0,20.107,86.48
34340,PSS,WW,Brown,Right,20.0,20.006,86.89
34340,PSS,EE,Brown,Right,20.0,20.049,85.978
34340,PSS,WW,Brown,Right,20.0,20.005,86.814
34340,PSS,EE,Brown,Right,20.0,20.002,86.179
34340,PSS,WW,Brown,Right,20.0,20.003,86.585
34340,PSS,EE,Brown,Right,20.0,20.026,86.022
34340,PSS,WW,Brown,Right,20.0,20.023,86.487
34340,PSS,EE,Brown,Right,20.0,20.001,85.367
34340,PSS,WW,Brown,Right,20.0,20.006,86.388
34340,PSS,EE,Brown,Right,20.0,20.03,86.161
34340,PSS,WW,Brown,Right,20.0,20.009,86.325
34340,PSS,EE,Brown,Right,20.0,20.002,85.818
34340,PSS,WW,Brown,Right,20.0,20.046,86.449
34340,PSS,EE,Brown,Right,20.0,20.047,86.133
34340,PSS,WW,Brown,Right,20.0,20.016,-0.425
