batch_number,Type,Average,std
34252,PSS,85.69866666666667,2.3032973995055626
34254,PSS,85.88458928571428,1.6257462149793012
34331,2S,86.08530158730159,0.7616472732626407
34340,PSS,84.54251219512194,13.621835722695293
34341,PSS,86.5475,1.4366939256144438
34343,PSS,86.33530303030304,2.666841817638052
34353,2S,86.2625625,0.7463364690272063
34359,2S,87.82207142857143,0.5953162202698699
35496,PSP,87.8928125,0.6006224425946719
35499,PSP,88.106475,0.4072926867650667
35500,PSP,89.90209999999999,0.7560097395641058
35501,PSP,90.8443,0.49101303445020567
35717,2S,87.63775,0.47947535747006964
35718,2S,86.3204375,0.5033169933882001
35722,2S,83.7625,0.4295906578748324
35952,2S,86.13714999999999,0.6033504066111819
35953,2S,85.4866,0.575626291604379
35957,2S,84.71754838709678,3.668524125028208
35958,2S,85.251625,0.54132100964573
35963,2S,85.59716666666667,0.8360143011723563
36238,2S,84.96022222222223,0.9287695563964655
36239,2S,85.68275,0.699466395998008
36240,2S,85.522,0.5994197193953488
36241,2S,84.64025000000001,0.8663268421146983
36245,2S,87.32582352941176,0.5686281996276328
36246,2S,87.22866666666667,0.48931224242627813
36696,PSS,85.75629411764706,0.6654968787216289
36697,PSS,86.65718749999999,0.6152054636460867
36698,2S,84.35454999999999,1.1782009244696139
36699,2S,85.20415789473684,0.9062301806665244
36700,2S,85.53235,2.517584353366493
36701,2S,84.59715,0.8709618563767104
36706,2S,85.58383333333335,0.5621196626622423
36795,2S,86.332375,0.6351636928120754
36796,2S,86.9526875,3.4941131200682856
36797,2S,86.045125,0.9697790040347704
36800,2S,86.25115,0.693726950304619
36801,2S,84.0977,0.7508160542825473
36802,2S,84.59965,2.1948090739407453
36803,2S,84.5631875,4.044783870925613
37077,PSS,86.586098,
37079,2S,86.46275,0.698923982514072
37081,2S,84.24204999999999,3.286461822866333
37087,2S,86.1634375,0.9607517174067373
37088,2S,86.74075,1.2661335632546828
37398,PSS,85.0258125,0.7418889601326318
37399,PSS,86.72149999999999,0.46631591580529563
37400,2S,86.06145254545454,0.7595044842249907
37401,2S,87.15657142857143,0.7443747726769129
37404,2S,84.8317,0.596708877268072
37405,2S,85.16627272727273,0.6771720736386133
37406,2S,85.6001875,3.49528034581396
37407,2S,85.7121875,0.5781722025775118
37408,2S,87.0925,0.747085593901652
37895,PSS,83.549,0.9752439011173892
37896,PSS,86.266375,0.5328108951588725
37897,2S,86.59964285714285,0.8506262495852788
37898,2S,84.82527777777779,0.9074498725780028
37899,2S,85.004875,0.9842139926526806
37903,2S,84.241125,0.5662350365940559
37904,2S,85.59978571428572,0.6342178924981792
37905,2S,84.60707142857143,0.811604248414183
37906,2S,84.5744,3.4094190491389536
37907,2S,84.91507142857142,2.812843058442573
38196,2S,86.84071428571428,0.6042379088980201
38197,2S,85.3636875,1.2534708994760633
38199,2S,88.41471428571428,0.4615421355165144
38200,2S,85.8336875,0.6826394576690291
38202,2S,87.54418749999999,1.5889432219245592
38212,PSS,86.76875,0.756177889123977
38691,2S,88.376375,0.4900933074425763
38693,2S,86.1981875,0.897761677265552
38694,2S,87.3146875,0.5401764796496317
38695,2S,86.117875,2.0581502658131323
38696,2S,86.67999999999999,2.0183911519091824
38712,PSS,85.15011111111112,0.6367609107948916
38713,2S,86.356875,0.48814627247715076
38714,2S,88.14978571428571,0.6167218770453734
38715,2S,88.11171428571429,0.573783586725521
38868,2S,85.5820625,0.8343748533083499
38869,2S,88.49121428571428,0.607740604910637
38870,2S,83.49107142857143,0.8039354608889442
38871,2S,82.8231875,0.599481022079373
38872,2S,84.52875,0.8073253681137488
38873,2S,84.1294,0.656471070700504
38874,2S,83.87358333333333,0.6268230804959424
38875,2S,84.6831,0.4356901166859023
38876,2S,83.727125,0.7773538332978492
38878,2S,80.9155625,2.58747289760363
38879,2S,82.334625,0.5009583981396724
38880,2S,81.88983333333333,0.5682793033946127
38881,2S,85.0505,0.2128391411371421
38882,2S,81.46721428571428,0.5384740803091984
38883,2S,83.33092857142857,0.691464829105651
38884,2S,84.15907142857142,0.8854816563522132
38885,2S,83.0363125,0.5536956707735147
39479,PSS,84.40614285714285,0.7215995967446038
39480,2S,78.822375,0.5215122721470721
39481,2S,81.1639375,0.4730908959527051
39482,2S,80.9476875,0.566356274059597
39483,2S,80.40141176470588,5.5553775755886265
39484,2S,83.612,0.7330077132556683
39486,2S,83.2529375,0.7557417079708232
39487,2S,86.14021428571428,0.44389156308745
39547,PSS,84.32264285714287,0.6161620175474389
39548,PSS,83.002,0.626139718727715
39562,PSS,80.2487,0.6489177305734788
39563,PSS,81.9135,0.4083736850810329
39564,2S,84.0245,0.4941873954464868
39565,2S,82.81033333333333,0.6837513281799716
39566,2S,84.3546875,0.40449568909940864
39567,2S,82.3059375,0.8074912151224913
39569,2S,82.2582,0.7444686098897033
39570,2S,83.0155,0.3196670142507775
39571,2S,83.21187499999999,1.1367550857594624
39572,2S,83.61133333333333,0.5897852716596678
41352,2S,83.632375,0.5294430867835127
41354,2S,83.39558333333333,1.1716928280625991
41356,2S,83.60285714285715,0.6333032882790415
41357,2S,84.09157142857143,0.5505125883121254
41727,PSS,82.6984375,0.44642326234938556
41729,PSS,84.2050625,0.44680189028994655
41730,2S,84.17257142857143,0.6183038479191676
41731,2S,84.1448,0.4094993691488846
41732,2S,83.7952142857143,0.5829330583775932
41733,2S,82.663875,0.8280966026577654
41734,2S,82.1618125,0.6482353707052233
41735,2S,82.7555625,0.6056676722152703
41740,2S,84.8731,0.5532549040802878
41741,2S,81.65407142857143,0.8386379492308411
41744,2S,82.22018750000001,0.5427270914864405
41745,2S,81.72375,0.6822878669105392
41747,2S,81.466125,0.555796590489725
41748,2S,83.48635714285714,0.4425053858243033
