Name,Type,Location,Average,Std.dev
34332,2-S,Perugia,74931202550.25182,951237444.7851516
34343,PSS,Brown,82846030303.0303,4016291824.6853366
34346,2-S,Perugia,80868040324.59485,2491337942.092645
34348,2-S,Perugia,61292124273.77852,3945350981.8956666
34352,2-S,Perugia,59079336640.527145,4187850086.740137
34353,2-S,Brown,81953177500.0,2437995371.880284
34354,2-S,Perugia,76466741436.6473,1975423707.2263868
34357,2-S,Perugia,54964891119.460686,3897986101.3822603
34359,2-S,Brown,80944190000.0,2944980591.9589396
35494,PSP,Perugia,139550292140.6119,13491297324.308123
35495,PSP,Perugia,129652847217.753,22848945512.44024
35496,PSP,HEPHY,183545225000.0,11493437648.249264
35499,PSP,HEPHY,182918200000.0,10460033848.942633
35500,PSP,Brown,154440115000.0,10509277108.10912
35501,PSP,Brown,135629150000.0,15637937404.055494
35713,PSS,Perugia,75311808974.5848,3493007559.2369914
35714,PSS,Perugia,60154309255.89611,2249302687.6474867
35717,2-S,Brown,76544674642.85715,2043946913.7729802
35718,2-S,Brown,75604411250.0,2773810009.605021
35719,2-S,Perugia,66115275847.370316,1639596920.076714
35722,2-S,Brown,71638865000.0,3195656685.365311
35952,2-S,Brown,81781473500.0,2611692598.7349863
35953,2-S,HEPHY,116188016666.66667,2157314645.265767
35957,2-S,HEPHY,116159564516.12903,9131162061.919188
35958,2-S,HEPHY,107401184375.0,2455120206.5189505
35959,2-S,Perugia,59796313863.29961,1973075017.2454162
35960,2-S,Perugia,74695337261.74666,2316761163.602666
35961,2-S,Perugia,68446756341.09475,1962118944.5484955
35962,2-S,Perugia,74370237012.94005,1989171216.4930036
35963,2-S,Brown,80978266538.46153,1947623222.0610683
36236,PSS,Perugia,71701736657.6881,6808631589.783653
36237,PSS,Perugia,66165573820.387405,3121668494.130946
36238,2-S,Brown,82477050000.0,1976951635.701985
36239,2-S,HEPHY,118141012500.0,1766109681.7858837
36240,2-S,HEPHY,109922525000.0,2373848187.199334
36241,2-S,HEPHY,99699313000.0,2067989545.5301764
36243,2-S, ,86866666666.66667,42550714839.27541
36245,2-S,Brown,66985517857.14286,3108149182.867931
36246,2-S,Brown,79953518888.88889,3706597658.773098
36696,PSS,Brown,85448414117.64706,2063149091.2740538
36697,PSS,Brown,60464516875.0,2838809061.084288
36698,2-S,HEPHY,115624470000.0,1370588082.0405512
36699,2-S,HEPHY,115241536842.10527,1969175870.2593565
36700,2-S,HEPHY,108534161818.18182,3065568095.9227443
36701,2-S,HEPHY,115695300000.0,3334925111.4451356
36702,2-S,Perugia,61210341605.96965,4671408287.602996
36703,2-S,Perugia,73748298895.09245,3862844914.421145
36704,2-S,Perugia,65542035477.3317,4416524757.338818
36705,2-S,Perugia,65899991259.38595,3581475939.721522
36706,2-S,Brown,78357882500.0,2656828185.587007
36795,2-S,Brown,82082038750.0,2190139816.894117
36796,2-S,Brown,75473305555.55556,4440570280.754519
36797,2-S,Brown,85983781875.0,1988612118.4558797
36798,2-S,Perugia,69854680835.828,2396254610.134535
36799,2-S,Perugia,80788655282.3183,2509708763.8122334
36800,2-S,HEPHY,116870575000.0,3441234359.916283
36801,2-S,HEPHY,122689605000.0,3028382216.625517
36802,2-S,HEPHY,116265210000.0,4313403483.012366
36803,2-S,HEPHY,108549656969.69698,5515959581.591675
37077,PSS,Demokritos,81302683648.0,
37079,2-S,HEPHY,117371200000.0,2252979900.1914487
37081,2-S,HEPHY,115187235000.0,3810139728.239704
37083,2-S,Perugia,75955056730.56107,4030802840.203165
37084,2-S,Perugia,99843203634.72095,2262703232.4253573
37085,2-S,Perugia,95107075466.33894,2958266284.6478815
37086,2-S,Perugia,75899136761.43657,2928633010.5696425
37087,2-S,Brown,80882845625.0,2745002206.138686
37088,2-S,Brown,73624879444.44444,3238354911.7441273
37398,PSS,Brown,83112337500.0,1813863844.7891674
37399,PSS,Brown,77838865000.0,2384919948.4035816
37400,2-S,Demokritos,66068397326.0274,3130139770.255327
37401,2-S,Demokritos,52305714285.71429,2091233402.290893
37402,2-S,Perugia,74313200554.82184,2527177431.850091
37403,2-S,Perugia,77432126425.36388,2668248970.880689
37404,2-S,HEPHY,115283175000.0,1793785711.8029501
37405,2-S,HEPHY,113405372727.27272,2643770239.671587
37406,2-S,Brown,81846517500.0,5334514129.519828
37407,2-S,Brown,88958300625.0,2336217682.3874097
37408,2-S,Demokritos,64377857142.85714,2914259844.20752
37895,PSS,Brown,83192396875.0,2119904947.210981
37896,PSS,Brown,77206870625.0,2763149331.702191
37897,2-S,Demokritos,62335714285.71429,2245431992.9948525
37898,2-S,HEPHY,119920522222.22223,1490327642.0484176
37899,2-S,HEPHY,92060528750.0,1779637620.8725743
37900,2-S,Perugia,75552299909.60425,3060761392.688987
37901,2-S,Perugia,53028855128.142746,3083286581.816952
37903,2-S,Brown,59856036875.0,2296693129.3658376
37904,2-S,Demokritos,62475714285.71429,2060782714.6075842
37905,2-S,Demokritos,64885714285.71429,3273040752.4495883
37906,2-S,HEPHY,116822524500.0,5308566865.915861
37907,2-S,HEPHY,114314855000.0,15513708721.962276
38194,2-S,Perugia,76619317245.07957,2452311602.867631
38195,2-S,Perugia,68721091509.78595,2610365518.4607053
38196,2-S,Demokritos,63788571428.57143,1525888679.9947982
38197,2-S,HEPHY,115597293750.0,1522085074.9191635
38198,2-S,Perugia,73631203071.99251,2382302565.215392
38199,2-S,Demokritos,60571428571.42857,2167983313.6700215
38200,2-S,HEPHY,109366531250.0,2803424728.843571
38201,2-S,Perugia,68373533651.23294,2447644537.520903
38202,2-S,Brown,77596097058.82353,2105507569.434757
38212,PSS,Brown,65878000625.0,2404267674.3698034
38213,PSS,Perugia,71616776632.12769,3008185058.944869
38691,2-S,HEPHY,117757656250.0,1071866539.558441
38693,2-S,Brown,74972516250.0,2353096569.3028836
38694,2-S,Brown,81640939375.0,2754716625.07167
38695,2-S,Brown,80462751875.0,3180828501.490807
38696,2-S,Brown,83388701500.0,2644750015.058187
38711,PSS,Perugia,76460245509.35782,2221951045.5878496
38712,PSS,HEPHY,112229538888.88889,2416790362.5747075
38713,2-S,Brown,86444251250.0,1805323308.2668762
38714,2-S,Demokritos,55314285714.28571,3976128217.801282
38715,2-S,Demokritos,58712142857.14286,7826950657.402062
38716,2-S,Perugia,68817271818.32558,1456937995.3771307
