batch_number,Type,Average,std
34332,2S,74931202550.25182,951237444.7851529
34343,PSS,82846030303.0303,4016291824.685337
34346,2S,80868040324.59485,2491337942.092642
34348,2S,61292124273.77852,3945350981.8956666
34352,2S,61789413012.68909,4255625628.483206
34353,2S,81953177500.0,2437995371.880284
34354,2S,76466741436.6473,1975423707.2263868
34357,2S,54964891119.460686,3897986101.3822603
34359,2S,80944190000.0,2944980591.9589396
35494,PSP,139550292140.6119,13491297324.308123
35495,PSP,129652847217.753,22848945512.44024
35496,PSP,183545225000.0,11493437648.249262
35499,PSP,182918200000.0,10460033848.942633
35500,PSP,154440115000.0,10509277108.10912
35501,PSP,135629150000.0,15637937404.055494
35713,PSS,75293997021.59828,3624158252.7626996
35714,PSS,60154309255.89611,2249302687.6474867
35717,2S,76280498500.0,2103726090.2410243
35718,2S,75604411250.0,2773810009.605021
35719,2S,66115275847.370316,1639596920.076714
35722,2S,71638865000.0,3195656685.365311
35952,2S,81781473500.0,2611692598.7349863
35953,2S,116188016666.66667,2157314645.2657657
35957,2S,116159564516.12903,9131162061.919184
35958,2S,107401184375.0,2455120206.5189486
35959,2S,59796313863.29961,1973075017.2454162
35960,2S,74695337261.74666,2316761163.602666
35961,2S,68446756341.09475,1962118944.5484955
35962,2S,74370237012.94005,1989171216.4930036
35963,2S,81012223888.88889,1909936290.7672763
36236,PSS,71701736657.6881,6808631589.783653
36237,PSS,66165573820.387405,3121668494.130946
36238,2S,82372333888.88889,2101904759.156878
36239,2S,118141012500.0,1766109681.785884
36240,2S,109922525000.0,2373848187.199332
36241,2S,99699313000.0,2067989545.5301764
36245,2S,66429808823.52941,3302484890.194205
36246,2S,79953518888.88889,3706597658.773098
36696,PSS,85448414117.64706,2095137806.5000248
36697,PSS,60464516875.0,2901207923.1812363
36698,2S,115624470000.0,1370588082.0405512
36699,2S,115241536842.10527,1969175870.2593565
36700,2S,108356648000.0,3165765963.0517297
36701,2S,115695300000.0,3334925111.4451356
36702,2S,61210341605.96965,4671408287.602996
36703,2S,73748298895.09245,3862844914.421145
