batch_number,Type,Average,std
34252,PSS,-2.3949285714285713,0.050054795758220826
34254,PSS,-2.8865000000000003,0.06704218482011551
34331,2S,-2.950619047619048,0.07463490244915202
34332,2S,-2.978589743589744,0.12308570354981743
34340,PSS,-2.796487804878049,0.39973742143757435
34341,PSS,-3.044775,0.09645072808806551
34343,PSS,-2.85869696969697,0.1007489096865583
34346,2S,-3.140589743589744,0.07251269142952542
34348,2S,-2.5592799999999998,0.12134747628195652
34352,2S,-2.5375454545454548,0.13253781621587374
34353,2S,-2.83309375,0.07734312296096417
34354,2S,-3.0372045454545455,0.06550220289051009
34357,2S,-2.379,0.12390347625700979
34359,2S,-2.75725,0.08407299517989429
35494,PSP,-4.9537894736842105,0.3917647506898
35495,PSP,-4.75535,0.45333422955277775
35496,PSP,-4.8767499999999995,0.3409517040815733
35499,PSP,-4.844424999999999,0.31026042720963903
35500,PSP,-4.8805,0.3130442208547002
35501,PSP,-4.28015,0.4541946342587875
35713,PSS,-2.990285714285714,0.1181077920776211
35714,PSS,-2.5555555555555554,0.08333223528688333
35717,2S,-2.6206,0.06208771384522319
35718,2S,-2.6353125,0.08859625180183049
35719,2S,-2.7502941176470586,0.08182967425228627
35722,2S,-2.5801875,0.10205960268392174
35952,2S,-2.8315,0.08131905971962665
35953,2S,-2.9334,0.06641437318470489
35957,2S,-2.9889354838709674,0.5697381232042121
35958,2S,-2.66871875,0.08239215213763369
35959,2S,-2.5120555555555555,0.06768479907736873
35960,2S,-2.993111111111111,0.07350381253728526
35961,2S,-2.775666666666667,0.0656950023467031
35962,2S,-2.998,0.06641654835006726
35963,2S,-2.8235555555555556,0.05843369517689388
36236,PSS,-2.919190476190476,0.08437394091046048
36237,PSS,-2.720125,0.10497797388023854
36238,2S,-2.8851666666666667,0.06665914173217798
36239,2S,-2.9862083333333334,0.06532193131058589
36240,2S,-2.736666666666667,0.07597463344785708
36241,2S,-2.4506,0.07729192781437884
36245,2S,-2.328529411764706,0.10740176770371307
36246,2S,-2.7438333333333333,0.11296863177318683
36696,PSS,-2.957,0.07529193183867715
36697,PSS,-2.1609375,0.09850987683137846
36698,2S,-2.9649,0.07335630421729997
36699,2S,-2.916,0.06989992846920498
36700,2S,-2.68785,0.06149049990809451
36701,2S,-2.95625,0.11039206445545269
36702,2S,-2.5958823529411763,0.06416860832305502
36703,2S,-2.9625,0.12820604304666852
36704,2S,-2.72865,0.14935731617412246
36705,2S,-2.7199999999999998,0.11431489289170549
36706,2S,-2.7415000000000003,0.09339992213350862
36795,2S,-2.8353124999999997,0.07743015670051737
36796,2S,-2.5971875,0.09464475245182213
36797,2S,-2.964625,0.06685992820815762
36798,2S,-2.8451923076923076,0.08166175076779535
36799,2S,-3.17225,0.07851240264073601
36800,2S,-2.9223,0.10236832363680934
36801,2S,-3.19935,0.09931410828912043
36802,2S,-2.9736000000000002,0.09727843921878117
36803,2S,-2.725375,0.08044117933828004
37077,PSS,-4.350709,
37079,2S,-2.928875,0.06942129836488699
37081,2S,-2.9568000000000003,0.07719326395482956
37083,2S,-3.038111111111111,0.14103061365153327
37084,2S,-3.7633888888888887,0.08352114131015954
37085,2S,-3.6331176470588233,0.11337596876815488
37086,2S,-3.00275,0.09547879345697667
37087,2S,-2.802625,0.07443912501724709
37088,2S,-2.571625,0.10189267229132155
37398,PSS,-2.90625,0.05406724208489515
37399,PSS,-2.693125,0.07369927634199223
37400,2S,-3.3190470000000003,0.16027667669852586
37401,2S,-2.9415,0.10241150025566181
37402,2S,-3.027722222222222,0.08914614937120059
37403,2S,-3.095,0.0982418783750937
37404,2S,-2.9329,0.05417894327814867
37405,2S,-2.860181818181818,0.09331698991105855
37406,2S,-2.84725,0.08790487282663376
37407,2S,-3.0673125,0.07879400886700295
37408,2S,-3.2582857142857145,0.12248292098927888
37895,PSS,-2.9550625,0.07494661989264984
37896,PSS,-2.6861875,0.08500056372362083
37897,2S,-3.216857142857143,0.1115249935029103
37898,2S,-3.079555555555556,0.07768656649884256
37899,2S,-2.1976875,0.06851444494897886
37900,2S,-3.0338,0.09993869549450236
37901,2S,-2.301625,0.09844787114678172
37903,2S,-2.195,0.08309352160868695
37904,2S,-3.232928571428572,0.08787881891096856
37905,2S,-3.3434285714285714,0.14400785998084864
37906,2S,-2.99195,0.05766370289513957
37907,2S,-2.8880000000000003,0.417464876458994
38194,2S,-3.0692142857142857,0.08475682733691586
38195,2S,-2.8195,0.08498235110892141
38196,2S,-3.2470714285714286,0.1018403458554421
38197,2S,-2.9209375,0.0798878119615251
38198,2S,-2.959285714285714,0.08680608678714118
38199,2S,-3.109214285714286,0.07867086115967212
38200,2S,-2.7069375,0.08695552023879788
38201,2S,-2.76175,0.08972810782209407
38202,2S,-2.6643125,0.0575427015354685
38212,PSS,-2.324625,0.08180128360851077
38213,PSS,-2.887857142857143,0.0972125800207244
38691,2S,-2.862375,0.04235701437385164
38693,2S,-2.619125,0.07139829596472655
38694,2S,-2.792875,0.08117296347922748
38695,2S,-2.7918125,0.09899509667991982
38696,2S,-2.8648499999999997,0.050466533986708334
