batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RSH_OHMSQR
34252,PSS,EE,Brown,Left,20.0,20.083,2482.308
34252,PSS,EE,Brown,Right,20.0,19.976,2459.943
34252,PSS,EE,Brown,Left,20.0,20.08,2475.421
34252,PSS,EE,Brown,Right,20.0,20.033,2441.568
34252,PSS,WW,Brown,Right,20.0,20.014,2521.108
34252,PSS,WW,Brown,Right,20.0,20.014,2498.161
34252,PSS,WW,Brown,Left,20.0,20.046,2524.603
34252,PSS,WW,Brown,Left,20.0,20.048,2527.68
34252,PSS,EE,Brown,Right,20.0,20.059,2368.252
34252,PSS,EE,Brown,Left,20.0,20.01,2375.119
34252,PSS,EE,Brown,Right,20.0,20.062,2352.779
34252,PSS,EE,Brown,Left,20.0,20.018,2361.151
34252,PSS,WW,Brown,Left,20.0,20.1,2401.335
34252,PSS,WW,Brown,Right,20.0,20.016,2400.086
34252,PSS,WW,Brown,Right,20.0,20.014,2425.051
34252,PSS,WW,Brown,Left,20.0,20.075,2392.293
34252,PSS,EE,Brown,Left,20.0,20.041,2357.42
34252,PSS,EE,Brown,Left,20.0,20.045,2355.761
34252,PSS,EE,Brown,Right,20.0,20.025,2350.013
34252,PSS,EE,Brown,Right,20.0,20.03,2365.22
34252,PSS,WW,Brown,Right,20.0,20.102,2623.206
34252,PSS,WW,Brown,Left,20.0,20.011,2404.48
34252,PSS,WW,Brown,Left,20.0,20.009,2410.16
34252,PSS,EE,Brown,Left,20.0,20.019,2365.936
34252,PSS,EE,Brown,Left,20.0,20.016,2377.4
34252,PSS,EE,Brown,Right,20.0,20.083,2364.177
34252,PSS,EE,Brown,Right,20.0,20.113,2358.081
34252,PSS,WW,Brown,Right,20.0,19.979,2400.599
34252,PSS,WW,Brown,Right,20.0,20.051,2385.764
34252,PSS,WW,Brown,Left,20.0,20.075,2381.737
34252,PSS,WW,Brown,Left,20.0,20.078,2372.282
34252,PSS,EE,Brown,Right,20.0,19.999,2364.605
34252,PSS,EE,Brown,Left,20.0,20.079,2360.201
34252,PSS,EE,Brown,Right,20.0,20.002,2343.475
34252,PSS,EE,Brown,Left,20.0,20.067,2352.763
34252,PSS,WW,Brown,Right,20.0,20.063,2392.054
34252,PSS,WW,Brown,Left,20.0,20.069,2395.616
34252,PSS,WW,Brown,Right,20.0,20.064,2380.704
34252,PSS,WW,Brown,Left,20.0,20.084,2384.393
34252,PSS,EE,Brown,Left,20.0,20.066,2373.972
34252,PSS,EE,Brown,Right,20.0,20.101,2449.277
34252,PSS,EE,Brown,Left,20.0,20.124,2366.777
34252,PSS,EE,Brown,Right,20.0,20.17,2340.993
34252,PSS,WW,Brown,Left,20.0,20.067,2380.113
34252,PSS,WW,Brown,Right,20.0,20.091,2380.519
34252,PSS,WW,Brown,Right,20.0,20.039,2539.684
34252,PSS,WW,Brown,Left,20.0,20.086,2370.344
34252,PSS,EE,Brown,Left,20.0,20.019,2353.084
34252,PSS,EE,Brown,Right,20.0,19.995,2348.773
34252,PSS,EE,Brown,Right,20.0,20.087,2325.945
34252,PSS,EE,Brown,Left,20.0,20.012,2364.751
34252,PSS,WW,Brown,Left,20.0,20.006,2399.5
34252,PSS,WW,Brown,Right,20.0,20.055,2375.08
34252,PSS,WW,Brown,Right,20.0,20.052,2394.473
34252,PSS,WW,Brown,Left,20.0,20.006,2392.023
34252,PSS,EE,Brown,Right,20.0,20.045,2351.008
34252,PSS,EE,Brown,Right,20.0,20.045,2342.502
34252,PSS,EE,Brown,Left,20.0,20.023,2367.466
34252,PSS,EE,Brown,Left,20.0,20.024,2373.823
34252,PSS,WW,Brown,Left,20.0,20.071,2397.418
34252,PSS,WW,Brown,Right,20.0,20.085,2376.04
34252,PSS,WW,Brown,Right,20.0,20.083,2394.77
34252,PSS,WW,Brown,Left,20.0,20.075,2385.339
34252,PSS,EE,Brown,Left,20.0,20.234,2343.782
34252,PSS,EE,Brown,Right,20.0,20.124,2328.672
34252,PSS,EE,Brown,Right,20.0,20.123,2337.623
34252,PSS,EE,Brown,Left,20.0,20.231,2347.169
34252,PSS,WW,Brown,Left,20.0,20.1,2384.045
34252,PSS,WW,Brown,Left,20.0,20.098,2394.563
34252,PSS,WW,Brown,Right,20.0,20.046,2374.414
34252,PSS,WW,Brown,Right,20.0,20.047,2386.946
34252,PSS,EE,Brown,Right,20.0,20.048,2344.031
34252,PSS,EE,Brown,Right,20.0,20.048,2334.791
34252,PSS,EE,Brown,Left,20.0,20.114,2360.176
34252,PSS,EE,Brown,Left,20.0,20.108,2362.552
34252,PSS,WW,Brown,Right,20.0,20.107,2380.4
34252,PSS,WW,Brown,Left,20.0,20.113,2379.497
34252,PSS,WW,Brown,Right,20.0,20.11,2369.248
34252,PSS,WW,Brown,Left,20.0,20.117,2360.199
34252,PSS,EE,Brown,Left,20.0,20.032,2420.06
34252,PSS,EE,Brown,Left,20.0,20.033,2343.883
34252,PSS,EE,Brown,Right,20.0,20.087,2321.922
34252,PSS,EE,Brown,Right,20.0,20.084,2320.863
34252,PSS,WW,Brown,Right,20.0,20.006,2376.521
34252,PSS,WW,Brown,Right,20.0,20.009,2363.89
34252,PSS,WW,Brown,Left,20.0,20.054,2372.08
34252,PSS,WW,Brown,Left,20.0,20.058,2360.201
34252,PSS,EE,Brown,Left,20.0,20.029,2335.536
34252,PSS,EE,Brown,Right,20.0,20.03,2314.989
34252,PSS,EE,Brown,Right,20.0,20.028,2342.248
34252,PSS,EE,Brown,Left,20.0,20.028,2341.325
34252,PSS,WW,Brown,Left,20.0,20.049,2347.769
34252,PSS,WW,Brown,Left,20.0,20.059,2332.933
34252,PSS,EE,Brown,Right,20.0,20.02,2314.59
34252,PSS,EE,Brown,Left,20.0,20.08,2328.753
34252,PSS,EE,Brown,Left,20.0,20.065,2334.733
34252,PSS,EE,Brown,Right,20.0,20.024,2320.2
34252,PSS,WW,Brown,Left,20.0,20.042,2357.547
34252,PSS,WW,Brown,Left,20.0,20.047,2352.084
34252,PSS,WW,Brown,Right,20.0,20.133,2564.987
34252,PSS,EE,Brown,Right,20.0,20.006,2312.513
34252,PSS,EE,Brown,Left,20.0,20.025,2329.15
34252,PSS,EE,Brown,Left,20.0,20.029,2329.973
34252,PSS,EE,Brown,Right,20.0,20.006,2301.876
34252,PSS,WW,Brown,Right,20.0,20.033,2361.556
34252,PSS,WW,Brown,Left,20.0,20.02,2346.535
34252,PSS,WW,Brown,Left,20.0,20.029,2338.532
34252,PSS,WW,Brown,Right,20.0,20.032,2350.873
34332,2S,EE,Perugia,Left,20.0,20.0,2276.223
34332,2S,EE,Perugia,Right,20.0,20.0,2246.838
34332,2S,WW,Perugia,Right,20.0,20.0,2326.817
34332,2S,WW,Perugia,Left,20.0,20.0,2272.739
34332,2S,EE,Perugia,Left,20.0,20.0,2319.957
34332,2S,EE,Perugia,Right,20.0,20.0,2267.668
34332,2S,WW,Perugia,Left,20.0,20.0,2288.283
34332,2S,WW,Perugia,Right,20.0,20.0,2332.745
34332,2S,EE,Perugia,Left,20.0,20.0,2307.295
34332,2S,EE,Perugia,Right,20.0,20.0,2292.657
34332,2S,WW,Perugia,Right,20.0,20.0,2334.673
34332,2S,WW,Perugia,Left,20.0,20.0,2329.352
34332,2S,EE,Perugia,Left,20.0,20.0,2300.231
34332,2S,EE,Perugia,Right,20.0,20.0,2293.1
34332,2S,WW,Perugia,Left,20.0,20.0,2318.804
34332,2S,WW,Perugia,Right,20.0,20.0,2336.249
34332,2S,EE,Perugia,Left,20.0,20.0,2315.324
34332,2S,EE,Perugia,Right,20.0,20.0,2310.956
34332,2S,WW,Perugia,Left,20.0,20.0,2338.486
34332,2S,WW,Perugia,Right,20.0,20.0,2355.997
34332,2S,EE,Perugia,Left,20.0,20.0,2340.762
34332,2S,EE,Perugia,Right,20.0,20.0,2313.546
34332,2S,WW,Perugia,Right,20.0,20.0,2366.013
34332,2S,WW,Perugia,Left,20.0,20.0,2349.995
34332,2S,EE,Perugia,Right,20.0,20.0,2194.257
34332,2S,WW,Perugia,Right,20.0,20.0,2247.084
34332,2S,WW,Perugia,Left,20.0,20.0,2214.316
34332,2S,EE,Perugia,Left,20.0,20.0,2254.856
34332,2S,EE,Perugia,Right,20.0,20.0,2219.949
34332,2S,WW,Perugia,Right,20.0,20.0,2294.867
34332,2S,WW,Perugia,Left,20.0,20.0,2254.019
34332,2S,EE,Perugia,Right,20.0,20.0,2226.561
34332,2S,EE,Perugia,Left,20.0,20.0,2269.618
34332,2S,WW,Perugia,Right,20.0,20.0,2311.213
34332,2S,WW,Perugia,Left,20.0,20.0,2261.561
34332,2S,EE,Perugia,Right,20.0,20.0,2241.069
34332,2S,EE,Perugia,Left,20.0,20.0,2279.083
34332,2S,WW,Perugia,Left,20.0,20.0,2263.926
34332,2S,WW,Perugia,Right,20.0,20.0,2302.701
34346,2S,EE,Perugia,Left,20.0,20.0,2442.05
34346,2S,EE,Perugia,Right,20.0,20.0,2417.287
34346,2S,WW,Perugia,Right,20.0,20.0,2466.096
34346,2S,WW,Perugia,Left,20.0,20.0,2435.298
