batch_number,Type,Average,std
34252,PSS,2.3789148981481483,0.0547779941880851
34254,PSS,2.3350411785714287,0.04513642903249727
34331,2S,2.3891684556962027,0.02497677363933767
34332,2S,2.291533076923077,0.04209015107535919
34340,PSS,2.3345734625000003,0.033239165353785495
34341,PSS,2.3260731,0.041606113526436006
34343,PSS,2.407707417721519,0.03112215762723641
34346,2S,2.373134743589744,0.04684734205835506
34348,2S,2.2818661304347825,0.029341378286558754
34352,2S,2.2797115000000003,0.016107355961036882
34353,2S,2.32309128125,0.04069060766376703
34354,2S,2.3627041590909093,0.02754264920373765
34357,2S,2.3490424666666665,0.02015091935052244
34359,2S,2.3447614821428573,0.030799183396489252
35713,PSS,2.2925217857142854,0.03252181655485253
35714,PSS,1.9710675833333333,0.021690032261551487
35717,2S,2.2253918214285715,0.03432507769870421
35718,2S,1.9872052291666666,0.022037745366046455
35719,2S,1.9480795294117645,0.019946871017523127
35722,2S,1.9034733125,0.035905572750163574
35952,2S,1.9892936785714286,0.04674240886277471
35953,2S,1.8823194210526317,0.021572082177258842
35957,2S,1.875197734375,0.023515852610689898
35958,2S,1.899059890625,0.027593580420963187
35959,2S,1.969293923076923,0.01638655323348527
35960,2S,1.9714029230769232,0.021618300069937275
35961,2S,1.9119454137931036,0.019680687274797434
35962,2S,2.0364674642857143,0.022917924514137832
35963,2S,1.9189947843137256,0.03165952752225704
36236,PSS,1.9127640333333333,0.023870882767553864
36237,PSS,1.8706423235294116,0.02076816510434293
36238,2S,1.8786188846153846,0.023990397595912316
36239,2S,1.9384777499999999,0.022431355976789472
36240,2S,1.8906930208333332,0.02479333392864772
36241,2S,1.95926645,0.015308677229279385
36245,2S,1.9793730600000001,0.02587364545160795
36246,2S,1.8970577307692307,0.025903150586719142
36696,PSS,1.959651826923077,0.024018033457498856
36697,PSS,1.9143635625,0.023372722158378177
36698,2S,1.965108125,0.016273609566328853
36699,2S,1.933878552631579,0.02169372051713429
36700,2S,1.90789775,0.0268749312507171
36701,2S,1.9597374250000001,0.023299957337792523
36702,2S,1.9250374375000001,0.03020925269808261
36703,2S,1.9914443333333334,0.020168721523315652
36704,2S,1.9466207666666666,0.022620872204415724
36705,2S,2.009735366666667,0.023505803686108714
36706,2S,1.9262768684210527,0.02195055392907042
36795,2S,1.9769093958333332,0.025984341314787784
36796,2S,1.9201831041666668,0.03565930487576786
36797,2S,1.9590478695652174,0.027263504820432043
36798,2S,1.9347306129032258,0.019557134118061065
36799,2S,1.9777189,0.04861214350724476
36800,2S,1.95044595,0.04170014778178953
36801,2S,1.9736416,0.06927319005391729
36802,2S,1.9962106250000002,0.014970408974232081
36803,2S,1.95041784375,0.01771911293947572
37079,2S,1.9160369375000001,0.020702993906815625
37081,2S,1.9911156,0.013133924628365597
37083,2S,1.978274392857143,0.01762441922833899
37084,2S,1.92929775,0.0359355669854368
37085,2S,1.9470124230769232,0.0339783731572576
37086,2S,1.8739670384615386,0.04547059283403349
37087,2S,1.9420833125,0.020683900788691544
37088,2S,1.9144074782608695,0.11397736816066978
37398,PSS,1.9943378958333333,0.022216797779713138
37399,PSS,1.9617128541666666,0.02399668620206568
37400,2S,1.861527846153846,0.02504077226859617
37401,2S,1.884135225,0.02095744094953405
37402,2S,1.9645538965517242,0.017555108512389495
37403,2S,1.95043325,0.04786744512328231
37404,2S,1.9359695875,0.03164911323600018
37405,2S,1.9346308522727271,0.05175133748586244
37406,2S,1.951777475,0.021349503370177075
37407,2S,1.9677907173913043,0.018928646297389766
37408,2S,1.9540156,0.025966704134925755
37895,PSS,1.9562043125,0.023782348766631767
37896,PSS,1.9534954166666667,0.02930756244416167
37897,2S,1.9602620000000002,0.01895423738836153
37898,2S,1.9122014999999999,0.02717674287088912
37899,2S,1.9535165,0.01546433319014672
37900,2S,1.9945495217391305,0.02102564080283789
37901,2S,1.9361534583333333,0.018922882258120926
37903,2S,1.893117142857143,0.024346274484781254
37904,2S,1.964432975,0.01617753453132398
37905,2S,1.916299675,0.01847773292286125
37906,2S,2.0018696562500002,0.023469030839526017
37907,2S,1.9528105312500001,0.03125535794726572
38194,2S,1.9697398181818182,0.02105628695987966
38195,2S,1.9568832916666665,0.02033744134109638
38196,2S,1.9134029000000001,0.02197315399533172
38197,2S,1.92435846875,0.025169728547872947
38198,2S,1.9436739090909092,0.02183307260384289
38199,2S,1.8616741749999999,0.019164930632488007
38200,2S,1.923555578125,0.02559192869401443
38201,2S,1.8872286,0.020563567072616504
38202,2S,1.8788310416666667,0.02410410357396867
38212,PSS,1.9190833749999998,0.036252732536555504
38213,PSS,1.957271181818182,0.029777618679993307
38691,2S,1.9204691587301588,0.028913673754374376
38693,2S,1.9787369130434782,0.02629385847922665
38694,2S,1.9521091666666666,0.030357948480943787
38695,2S,1.9849866875000002,0.02698549987564739
38696,2S,1.9176017666666667,0.026631771155142696
38711,PSS,1.9961534166666668,0.020793121883087348
38712,PSS,1.9137681944444447,0.04553499862051286
38713,2S,1.9453483125000002,0.026608755223794984
38714,2S,1.87094485,0.021889987006766528
38715,2S,1.970467725,0.01868253187007267
38716,2S,1.9513120555555556,0.014153712875892437
38868,2S,1.92749578125,0.03741810852687728
38869,2S,1.9393869750000001,0.018067723422335872
38870,2S,1.912219675,0.021307604785901657
38871,2S,1.87051471875,0.06860505386642358
38872,2S,1.92649125,0.017226688159127253
38873,2S,1.89306453125,0.020140957011865936
38874,2S,1.97668095,0.06397534029686747
38875,2S,1.91503246875,0.05832903473647846
38876,2S,1.8874800416666666,0.02220123158252261
38877,2S,1.8800803636363634,0.01695087846451071
38878,2S,1.95206678125,0.022388046226862912
38879,2S,1.906024140625,0.024320456407493665
38880,2S,1.9093865416666667,0.0654316249191736
38881,2S,1.83553575,0.00748013544329243
38882,2S,1.908452525,0.027894727387077246
38883,2S,1.933132375,0.021828047903237387
38884,2S,1.9462674750000002,0.019457440317052647
38885,2S,1.91553278125,0.05154279916189502
38920,PSS,1.8910491666666667,0.021291791552995997
38921,PSS,1.8766291153846155,0.02263629425029967
38922,PSS,1.9411947083333334,0.02200734980287297
39478,PSS,1.8807255416666668,0.024574535646865403
39479,PSS,1.9174397500000002,0.03311467942039276
39480,2S,1.926285421875,0.020979295549936224
39481,2S,1.9036996562500001,0.025739220751526935
39482,2S,1.968238515625,0.06646733786784192
39483,2S,1.89015371875,0.033063674603718736
39484,2S,1.9036665,0.029268894511023748
39485,2S,1.8808324705882353,0.017189164581639948
39486,2S,1.892336171875,0.024540109039456203
39487,2S,1.8272682500000001,0.020609155276671263
39488,2S,1.9236667777777778,0.024865900292558814
39547,PSS,1.864018225,0.03646114412208797
39548,PSS,1.9560899625000001,0.06161947631350385
39562,PSS,1.939505775,0.04367158764334659
39563,PSS,1.97892625,0.03793463384728599
39564,2S,1.8693585555555556,0.01704476610650315
39565,2S,1.936780777777778,0.032617402800267904
39566,2S,1.9329942916666667,0.02432269588917685
39567,2S,1.8959002083333332,0.02925115246971878
39568,2S,1.8506792,0.022898550472625283
39569,2S,1.9023539285714286,0.03272644498004247
39570,2S,1.89389125,0.040063347500325315
39571,2S,1.9304614166666667,0.036463450853788736
39572,2S,1.91865,0.020507158085333058
41352,2S,1.9071202916666667,0.029643893717548577
41353,2S,1.8768046250000001,0.02146413008357359
41354,2S,1.9248916388888888,0.026011545527930297
41355,2S,1.9567863333333333,0.028009972461167477
41356,2S,1.88786245,0.01834361967181236
41357,2S,1.929438275,0.022326349029201293
41727,PSS,1.9380961875,0.03410632702060485
41728,PSS,1.847655125,0.032313072528020126
41729,PSS,1.9152470625,0.020584675308325837
41730,2S,1.977364025,0.06276502250559272
41731,2S,1.9255755714285716,0.04725817051240869
41732,2S,1.8995705,0.035754028836639994
41733,2S,1.89537603125,0.03004511238120122
41734,2S,1.9204181093750001,0.049573536788472206
41735,2S,1.8802880625,0.04352945012757146
41736,2S,1.9166938333333334,0.02284639920978672
41737,2S,1.9247510416666669,0.024216367755281933
41738,2S,1.9747053333333335,0.01898306919956028
41739,2S,1.8988571111111112,0.0257679310632624
41740,2S,1.8395766071428572,0.03906430730393456
41741,2S,1.93748015,0.028070682959683704
41742,2S,1.8610047272727273,0.024367564100824513
41743,2S,1.983619388888889,0.02688805689857584
41744,2S,1.8965399206349207,0.01779455664531367
41745,2S,1.9750035238095238,0.02610980124636008
41746,2S,1.8798940555555557,0.03223621338234413
41747,2S,1.951170390625,0.02716161719044993
41748,2S,1.8838236000000002,0.027287545522754694
41749,2S,1.8617130714285715,0.02241816717312353
41750,2S,1.8747709642857142,0.03182569047574502
41751,2S,1.909792027777778,0.024519348471285896
