batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,EE,25884,34330_003_2-S_HM_EE,,,,,7.646667,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_E_flute1_L_n+_3_8_2020_16h23m16s.txt,Perugia
34330,2S,EE,25884,34330_003_2-S_HM_EE,,,,,7.600813,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_E_flute1_R_n+_3_8_2020_16h3m7s.txt,Perugia
34330,2S,EE,25884,34330_003_2-S_HM_EE,,,,,7.600813,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_E_flute1_R_n+_3_8_2020_16h3m7s.txt,Perugia
34330,2S,EE,25884,34330_003_2-S_HM_EE,,,,,7.646667,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_E_flute1_L_n+_3_8_2020_16h23m16s.txt,Perugia
34330,2S,WW,25887,34330_003_2-S_HM_WW,,,,,7.653415,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_W_flute1_L_n+_3_8_2020_17h14m42s.txt,Perugia
34330,2S,WW,25887,34330_003_2-S_HM_WW,,,,,7.647829,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_W_flute1_R_n+_3_8_2020_17h46m15s.txt,Perugia
34330,2S,WW,25887,34330_003_2-S_HM_WW,,,,,7.647829,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_W_flute1_R_n+_3_8_2020_17h46m15s.txt,Perugia
34330,2S,WW,25887,34330_003_2-S_HM_WW,,,,,7.653415,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_003_2-S_HM_W_flute1_L_n+_3_8_2020_17h14m42s.txt,Perugia
34330,2S,EE,25888,34330_004_2-S_HM_EE,,,,,7.620553,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_E_flute1_L_n+_4_8_2020_10h47m59s.txt,Perugia
34330,2S,EE,25888,34330_004_2-S_HM_EE,,,,,7.61484,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_E_flute1_R_n+_4_8_2020_11h15m52s.txt,Perugia
34330,2S,EE,25888,34330_004_2-S_HM_EE,,,,,7.61484,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_E_flute1_R_n+_4_8_2020_11h15m52s.txt,Perugia
34330,2S,EE,25888,34330_004_2-S_HM_EE,,,,,7.620553,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_E_flute1_L_n+_4_8_2020_10h47m59s.txt,Perugia
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,7.639002,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_W_flute1_R_n+_4_8_2020_9h6m13s.txt,Perugia
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,7.648477,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_W_flute1_L_n+_4_8_2020_8h40m33s.txt,Perugia
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,7.648477,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_W_flute1_L_n+_4_8_2020_8h40m33s.txt,Perugia
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,7.639002,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_004_2-S_HM_W_flute1_R_n+_4_8_2020_9h6m13s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,7.59421,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_E_flute1_R_n+_4_8_2020_14h30m40s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,7.630695,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_E_flute1_L_n+_4_8_2020_12h27m23s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,7.59421,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_E_flute1_R_n+_4_8_2020_14h30m40s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,7.630695,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_E_flute1_L_n+_4_8_2020_12h27m23s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,7.65524,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_W_flute1_R_n+_4_8_2020_16h4m45s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,7.664324,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_W_flute1_L_n+_4_8_2020_15h39m20s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,7.65524,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_W_flute1_R_n+_4_8_2020_16h4m45s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,7.664324,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_005_2-S_HM_W_flute1_L_n+_4_8_2020_15h39m20s.txt,Perugia
34330,2S,EE,25896,34330_006_2-S_HM_EE,,,,,7.609645,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_006_2-S_HM_E_flute1_R_n+_5_8_2020_9h11m48s.txt,Perugia
34330,2S,EE,25896,34330_006_2-S_HM_EE,,,,,7.618204,PQC1,VDP_STRIP,Standard,Left,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_006_2-S_HM_E_flute1_L_n+_5_8_2020_8h41m57s.txt,Perugia
34330,2S,EE,25896,34330_006_2-S_HM_EE,,,,,7.609645,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 1,0.2,,,,,,HPK_34330_006_2-S_HM_E_flute1_R_n+_5_8_2020_9h11m48s.txt,Perugia
