batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
34252,PSS,EE,Brown,Left,20.0,20.031,4.978
34252,PSS,EE,Brown,Right,20.0,20.004,4.814
34252,PSS,WW,Brown,Right,20.0,20.011,4.969
34252,PSS,WW,Brown,Left,20.0,20.067,4.868
34252,PSS,EE,Brown,Left,20.0,20.035,4.948
34252,PSS,EE,Brown,Right,20.0,20.045,4.525
34252,PSS,WW,Brown,Right,20.0,20.015,4.725
34252,PSS,WW,Brown,Left,20.0,20.012,4.662
34252,PSS,EE,Brown,Left,20.0,20.005,4.803
34252,PSS,EE,Brown,Right,20.0,20.003,4.706
34252,PSS,WW,Brown,Left,20.0,20.026,4.65
34252,PSS,WW,Brown,Right,20.0,20.002,4.845
34252,PSS,EE,Brown,Left,20.0,20.062,4.948
34252,PSS,EE,Brown,Right,20.0,20.006,4.772
34252,PSS,WW,Brown,Right,20.0,20.003,4.899
34252,PSS,WW,Brown,Left,20.0,20.052,4.686
34252,PSS,EE,Brown,Right,20.0,20.007,4.72
34252,PSS,EE,Brown,Left,20.0,20.087,4.866
34252,PSS,WW,Brown,Right,20.0,20.036,4.805
34252,PSS,WW,Brown,Left,20.0,20.107,4.806
34252,PSS,EE,Brown,Right,20.0,20.098,4.633
34252,PSS,EE,Brown,Left,20.0,20.054,4.973
34252,PSS,WW,Brown,Right,20.0,20.052,4.881
34252,PSS,WW,Brown,Left,20.0,20.074,4.757
34252,PSS,EE,Brown,Left,20.0,20.005,4.921
34252,PSS,EE,Brown,Right,20.0,20.097,4.637
34252,PSS,WW,Brown,Left,20.0,20.029,4.683
34252,PSS,WW,Brown,Right,20.0,20.062,4.9
34252,PSS,EE,Brown,Left,20.0,20.079,4.98
34252,PSS,EE,Brown,Right,20.0,20.099,4.824
34252,PSS,WW,Brown,Right,20.0,20.04,4.988
34252,PSS,WW,Brown,Left,20.0,20.076,4.788
34252,PSS,EE,Brown,Right,20.0,20.055,4.859
34252,PSS,EE,Brown,Left,20.0,20.111,4.924
34252,PSS,WW,Brown,Right,20.0,20.032,4.812
34252,PSS,WW,Brown,Left,20.0,20.123,4.818
34252,PSS,EE,Brown,Left,20.0,20.14,5.051
34252,PSS,EE,Brown,Right,20.0,20.11,4.856
34252,PSS,WW,Brown,Left,20.0,20.111,4.881
34252,PSS,WW,Brown,Right,20.0,20.064,4.788
34252,PSS,EE,Brown,Left,20.0,20.06,4.968
34252,PSS,EE,Brown,Right,20.0,20.004,4.913
34252,PSS,WW,Brown,Left,20.0,20.083,4.879
34252,PSS,WW,Brown,Right,20.0,20.023,5.012
34252,PSS,EE,Brown,Left,20.0,20.039,5.029
34252,PSS,EE,Brown,Right,20.0,20.056,4.933
34252,PSS,WW,Brown,Right,20.0,20.023,4.996
34252,PSS,WW,Brown,Left,20.0,20.06,4.869
34252,PSS,EE,Brown,Right,20.0,20.006,4.637
34252,PSS,EE,Brown,Left,20.0,20.055,4.866
34252,PSS,WW,Brown,Right,20.0,20.007,4.852
34252,PSS,WW,Brown,Left,20.0,20.062,4.738
34252,PSS,EE,Brown,Left,20.0,20.071,4.948
34252,PSS,EE,Brown,Right,20.0,20.044,4.798
34252,PSS,WW,Brown,Right,20.0,20.008,4.926
34252,PSS,WW,Brown,Left,20.0,20.037,4.807
34332,2S,EE,Perugia,Left,20.0,20.0,3.908
34332,2S,WW,Perugia,Left,20.0,20.0,3.948
34332,2S,WW,Perugia,Left,20.0,20.0,3.948
34332,2S,WW,Perugia,Right,20.0,20.0,3.946
34332,2S,EE,Perugia,Right,20.0,20.0,3.893
34332,2S,EE,Perugia,Left,20.0,20.0,4.011
34332,2S,WW,Perugia,Right,20.0,20.0,4.125
34332,2S,WW,Perugia,Left,20.0,20.0,3.821
34332,2S,EE,Perugia,Right,20.0,20.0,3.838
34332,2S,EE,Perugia,Left,20.0,20.0,4.061
34332,2S,EE,Perugia,Right,20.0,20.0,3.838
34332,2S,WW,Perugia,Left,20.0,20.0,3.852
34332,2S,WW,Perugia,Right,20.0,20.0,3.917
34332,2S,EE,Perugia,Left,20.0,20.0,3.946
34332,2S,EE,Perugia,Right,20.0,20.0,3.843
34332,2S,WW,Perugia,Right,20.0,20.0,4.101
34332,2S,WW,Perugia,Left,20.0,20.0,3.959
34332,2S,EE,Perugia,Left,20.0,20.0,3.998
34332,2S,EE,Perugia,Right,20.0,20.0,3.978
34332,2S,WW,Perugia,Left,20.0,20.0,3.951
34332,2S,WW,Perugia,Right,20.0,20.0,4.162
34332,2S,EE,Perugia,Left,20.0,20.0,4.165
34332,2S,EE,Perugia,Right,20.0,20.0,3.912
34332,2S,WW,Perugia,Right,20.0,20.0,4.111
34332,2S,WW,Perugia,Left,20.0,20.0,3.956
34332,2S,EE,Perugia,Left,20.0,20.0,3.714
34332,2S,EE,Perugia,Right,20.0,20.0,3.609
34332,2S,WW,Perugia,Left,20.0,20.0,3.524
34332,2S,WW,Perugia,Right,20.0,20.0,3.712
34332,2S,EE,Perugia,Left,20.0,20.0,3.872
34332,2S,EE,Perugia,Right,20.0,20.0,3.785
34332,2S,WW,Perugia,Left,20.0,20.0,3.748
34332,2S,WW,Perugia,Right,20.0,20.0,3.897
34332,2S,EE,Perugia,Right,20.0,20.0,3.714
34332,2S,EE,Perugia,Left,20.0,20.0,3.889
34332,2S,EE,Perugia,Left,20.0,20.0,3.889
34332,2S,WW,Perugia,Right,20.0,20.0,3.895
