batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,ISURF_PAMPR,S0_CMSEC,VFB_ACC_V,VFB_INV_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,EE,26200,34252_001_PSS_HM_EE,6.446,1.471,-1.881,-1.659,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.005,Test_HPK_VPX34252_001_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_10_2020_06_26_13_PM.txt,Brown
34252,PSS,EE,26200,34252_001_PSS_HM_EE,7.08,1.612,-1.792,-1.563,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 1,0.01,20.0,20.031,Test_HPK_VPX34252_001_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_08_12_2020_02_10_41_PM.txt,Brown
34252,PSS,WW,26205,34252_001_PSS_HM_WW,7.181,1.639,-1.891,-1.678,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.005,Test_HPK_VPX34252_001_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_11_2020_04_19_15_PM.txt,Brown
34252,PSS,EE,26206,34252_002_PSS_HM_EE,6.785,1.533,-1.867,-1.632,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.123,Test_HPK_VPX34252_002_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run02_08_12_2020_06_22_51_PM.txt,Brown
34252,PSS,EE,26206,34252_002_PSS_HM_EE,6.763,1.535,-1.971,-1.729,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.065,Test_HPK_VPX34252_002_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_11_2020_06_09_03_PM.txt,Brown
34252,PSS,WW,26211,34252_002_PSS_HM_WW,6.668,1.522,-1.971,-1.768,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.004,Test_HPK_VPX34252_002_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_11_2020_07_17_42_PM.txt,Brown
34252,PSS,WW,26211,34252_002_PSS_HM_WW,6.737,1.535,-1.88,-1.65,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 4,0.01,20.0,20.022,Test_HPK_VPX34252_002_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_12_2020_08_09_38_PM.txt,Brown
34252,PSS,EE,26212,34252_003_PSS_HM_EE,6.578,1.501,-1.949,-1.707,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.002,Test_HPK_VPX34252_003_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_13_2020_06_15_34_PM.txt,Brown
34252,PSS,WW,26217,34252_003_PSS_HM_WW,6.739,1.534,-1.871,-1.626,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,20.0,20.032,Test_HPK_VPX34252_003_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_17_2020_01_37_27_PM.txt,Brown
34252,PSS,WW,26217,34252_003_PSS_HM_WW,7.047,1.608,-1.969,-1.775,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.002,Test_HPK_VPX34252_003_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_13_2020_08_35_45_PM.txt,Brown
34252,PSS,EE,26218,34252_004_PSS_HM_EE,6.968,1.583,-1.847,-1.584,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.055,Test_HPK_VPX34252_004_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_08_17_2020_03_05_36_PM.txt,Brown
34252,PSS,EE,26218,34252_004_PSS_HM_EE,6.891,1.572,-1.954,-1.71,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.009,Test_HPK_VPX34252_004_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_14_2020_04_48_53_PM.txt,Brown
34252,PSS,WW,26223,34252_004_PSS_HM_WW,7.152,1.632,-1.945,-1.719,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.002,Test_HPK_VPX34252_004_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_14_2020_06_38_14_PM.txt,Brown
34252,PSS,WW,26223,34252_004_PSS_HM_WW,6.909,1.571,-1.846,-1.596,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 4,0.01,20.0,20.042,Test_HPK_VPX34252_004_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_17_2020_04_48_47_PM.txt,Brown
34252,PSS,EE,26236,34252_007_PSS_HM_EE,7.062,1.6,-1.847,-1.591,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 1,0.01,20.0,20.085,Test_HPK_VPX34252_007_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_08_31_2020_04_17_49_PM.txt,Brown
34252,PSS,EE,26236,34252_007_PSS_HM_EE,6.789,1.548,-1.941,-1.696,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.014,Test_HPK_VPX34252_007_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_27_2020_06_50_01_PM.txt,Brown
34252,PSS,WW,26241,34252_007_PSS_HM_WW,7.044,1.602,-1.941,-1.709,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.043,Test_HPK_VPX34252_007_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_28_2020_03_27_21_PM.txt,Brown
34252,PSS,WW,26241,34252_007_PSS_HM_WW,6.97,1.577,-1.861,-1.623,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,20.0,20.104,Test_HPK_VPX34252_007_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_31_2020_05_45_05_PM.txt,Brown
34252,PSS,EE,26242,34252_008_PSS_HM_EE,6.474,1.467,-1.956,-1.722,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.085,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run02_08_31_2020_12_53_46_PM.txt,Brown
34252,PSS,EE,26242,34252_008_PSS_HM_EE,7.106,1.612,-1.852,-1.605,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.073,Test_HPK_VPX34252_008_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_01_2020_03_45_20_PM.txt,Brown
34252,PSS,WW,26247,34252_008_PSS_HM_WW,7.083,1.606,-1.867,-1.63,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 4,0.01,20.0,20.081,Test_HPK_VPX34252_008_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_09_01_2020_05_21_10_PM.txt,Brown
34252,PSS,WW,26247,34252_008_PSS_HM_WW,6.907,1.571,-1.959,-1.741,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.045,Test_HPK_VPX34252_008_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_31_2020_02_41_52_PM.txt,Brown
34252,PSS,EE,26248,34252_009_PSS_HM_EE,6.705,1.53,-1.878,-1.655,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 1,0.01,20.0,20.003,Test_HPK_VPX34252_009_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_04_2020_06_25_33_PM.txt,Brown
34252,PSS,WW,26253,34252_009_PSS_HM_WW,6.897,1.57,-1.882,-1.664,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,20.0,20.034,Test_HPK_VPX34252_009_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_09_04_2020_07_48_27_PM.txt,Brown
34252,PSS,WW,26253,34252_009_PSS_HM_WW,6.941,1.578,-1.977,-1.759,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.05,Test_HPK_VPX34252_009_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_03_2020_05_56_52_PM.txt,Brown
34252,PSS,EE,26254,34252_010_PSS_HM_EE,7.081,1.605,-1.872,-1.635,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.082,Test_HPK_VPX34252_010_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_04_2020_09_11_53_PM.txt,Brown
34252,PSS,EE,26254,34252_010_PSS_HM_EE,6.799,1.54,-1.984,-1.763,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.089,Test_HPK_VPX34252_010_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_03_2020_07_19_24_PM.txt,Brown
34252,PSS,WW,26259,34252_010_PSS_HM_WW,7.088,1.614,-1.975,-1.768,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.032,Test_HPK_VPX34252_010_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_03_2020_08_41_46_PM.txt,Brown
34252,PSS,EE,26260,34252_011_PSS_HM_EE,7.465,1.687,-1.866,-1.612,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 1,0.01,20.0,20.116,Test_HPK_VPX34252_011_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_02_2020_04_44_52_PM.txt,Brown
34252,PSS,EE,26260,34252_011_PSS_HM_EE,6.805,1.547,-1.968,-1.724,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.051,Test_HPK_VPX34252_011_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_01_2020_08_43_07_PM.txt,Brown
34252,PSS,WW,26265,34252_011_PSS_HM_WW,7.167,1.628,-1.947,-1.709,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.054,Test_HPK_VPX34252_011_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_02_2020_11_55_10_AM.txt,Brown
34252,PSS,WW,26265,34252_011_PSS_HM_WW,7.015,1.584,-1.863,-1.633,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,20.0,20.127,Test_HPK_VPX34252_011_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_09_02_2020_06_11_49_PM.txt,Brown
34252,PSS,EE,26266,34252_012_PSS_HM_EE,6.548,1.482,-1.952,-1.707,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.099,Test_HPK_VPX34252_012_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_02_2020_01_00_51_PM.txt,Brown
34252,PSS,EE,26266,34252_012_PSS_HM_EE,7.278,1.644,-1.842,-1.593,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.123,Test_HPK_VPX34252_012_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_02_2020_07_36_22_PM.txt,Brown
34252,PSS,WW,26271,34252_012_PSS_HM_WW,6.804,1.546,-1.932,-1.698,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.056,Test_HPK_VPX34252_012_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_02_2020_02_58_38_PM.txt,Brown
34252,PSS,WW,26271,34252_012_PSS_HM_WW,7.022,1.589,-1.854,-1.593,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 4,0.01,20.0,20.103,Test_HPK_VPX34252_012_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_09_02_2020_08_59_18_PM.txt,Brown
34252,PSS,EE,26284,34252_015_PSS_HM_EE,6.943,1.576,-1.857,-1.57,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 1,0.01,20.0,20.067,Test_HPK_VPX34252_015_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_08_26_2020_04_12_02_PM.txt,Brown
34252,PSS,EE,26284,34252_015_PSS_HM_EE,6.855,1.564,-2.008,-1.708,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.008,Test_HPK_VPX34252_015_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_25_2020_06_33_40_PM.txt,Brown
34252,PSS,WW,26289,34252_015_PSS_HM_WW,7.107,1.619,-1.953,-1.676,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.025,Test_HPK_VPX34252_015_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_25_2020_08_02_23_PM.txt,Brown
