batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34330,2S,EE,Perugia,Left,20.0,20.0,14158.036148
34330,2S,EE,Perugia,Right,20.0,20.0,13986.339554
34330,2S,WW,Perugia,Right,20.0,20.0,14127.904097
34330,2S,WW,Perugia,Left,20.0,20.0,14109.161794
34330,2S,EE,Perugia,Right,20.0,20.0,14088.123254
34330,2S,EE,Perugia,Left,20.0,20.0,14163.559364
34330,2S,WW,Perugia,Right,20.0,20.0,14099.283622
34330,2S,WW,Perugia,Left,20.0,20.0,13992.862517
34330,2S,EE,Perugia,Right,20.0,20.0,14118.754869
34330,2S,EE,Perugia,Left,20.0,20.0,13931.904482
34330,2S,WW,Perugia,Left,20.0,20.0,14032.472658
34330,2S,WW,Perugia,Right,20.0,20.0,14209.522638
34330,2S,EE,Perugia,Left,20.0,20.0,14113.574475
34330,2S,EE,Perugia,Right,20.0,20.0,14047.312709
34330,2S,WW,Perugia,Left,20.0,20.0,14039.51899
34330,2S,EE,Perugia,Left,20.0,20.0,14134.90919
34330,2S,EE,Perugia,Right,20.0,20.0,14085.223003
34330,2S,WW,Perugia,Left,20.0,20.0,14041.554751
34330,2S,WW,Perugia,Right,20.0,20.0,14076.507672
34330,2S,EE,Perugia,Left,20.0,20.0,13972.499886
34330,2S,EE,Perugia,Right,20.0,20.0,14037.198164
34330,2S,WW,Perugia,Left,20.0,20.0,14149.481332
34330,2S,WW,Perugia,Right,20.0,20.0,14121.561691
34330,2S,EE,Perugia,Right,20.0,20.0,14020.935054
34330,2S,EE,Perugia,Left,20.0,20.0,14011.912528
34330,2S,WW,Perugia,Left,20.0,20.0,13922.371817
34330,2S,WW,Perugia,Right,20.0,20.0,14160.711342
34330,2S,EE,Perugia,Right,20.0,20.0,13987.500489
34330,2S,EE,Perugia,Left,20.0,20.0,14020.4104
34330,2S,WW,Perugia,Left,20.0,20.0,13905.528666
34330,2S,EE,Perugia,Left,20.0,20.0,13907.327189
34330,2S,EE,Perugia,Right,20.0,20.0,14011.863971
34330,2S,WW,Perugia,Left,20.0,20.0,14153.315032
34330,2S,WW,Perugia,Right,20.0,20.0,14064.584483
34330,2S,WW,Perugia,Right,20.0,20.0,13890.527314
34330,2S,EE,Perugia,Right,20.0,20.0,11591.861083
34330,2S,EE,Perugia,Left,20.0,20.0,11509.476509
34330,2S,WW,Perugia,Right,20.0,20.0,11508.44315
34330,2S,WW,Perugia,Left,20.0,20.0,11548.055193
34330,2S,EE,Perugia,Left,20.0,20.0,11499.776323
34330,2S,EE,Perugia,Right,20.0,20.0,11520.162111
34330,2S,WW,Perugia,Right,20.0,20.0,11893.582249
