batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
37400,2S,EE,Demokritos,Left,21.6,21.6,17.2
37400,2S,EE,Demokritos,Left,21.6,21.6,17.2
37400,2S,EE,Demokritos,Left,21.6,21.6,17.3
37400,2S,EE,Demokritos,Left,21.6,21.6,78.5
37400,2S,EE,Demokritos,Left,21.6,21.6,78.1
37400,2S,EE,Demokritos,Left,21.6,21.6,78.1
37400,2S,EE,Demokritos,Left,21.6,21.6,78.5
37400,2S,WW,Demokritos,Left,21.7,21.7,71.8
37400,2S,WW,Demokritos,Left,21.7,21.7,71.6
37400,2S,WW,Demokritos,Left,21.7,21.7,71.6
37400,2S,WW,Demokritos,Left,21.7,21.7,71.8
37400,2S,EE,Demokritos,Left,22.4,22.4,80.3
37400,2S,EE,Demokritos,Left,22.4,22.4,80.5
37400,2S,EE,Demokritos,Left,22.4,22.4,80.3
37400,2S,EE,Demokritos,Left,22.4,22.4,80.5
37400,2S,WW,Demokritos,Left,22.6,22.6,62.4
37400,2S,WW,Demokritos,Left,22.6,22.6,61.9
37400,2S,WW,Demokritos,Left,22.6,22.6,62.4
37400,2S,WW,Demokritos,Left,22.6,22.6,61.9
37400,2S,EE,Demokritos,Left,22.8,22.8,85.1
37400,2S,EE,Demokritos,Left,22.8,22.8,85.1
37400,2S,EE,Demokritos,Left,22.8,22.8,85.1
37400,2S,EE,Demokritos,Left,22.8,22.8,85.1
37400,2S,WW,Demokritos,Left,21.4,21.4,70.6
37400,2S,WW,Demokritos,Left,21.4,21.4,71.1
37400,2S,WW,Demokritos,Left,21.4,21.4,70.6
37400,2S,WW,Demokritos,Left,21.4,21.4,71.1
