batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34330,2S,EE,Perugia,Right,,,28.534949347338998
34330,2S,EE,Perugia,Left,,,26.354781063439
34330,2S,WW,Perugia,Left,,,25.917078748488997
34330,2S,WW,Perugia,Left,,,33.761612363992995
34330,2S,EE,Perugia,Left,,,28.228650495777
34330,2S,EE,Perugia,Right,,,30.97188494482
34330,2S,WW,Perugia,Right,,,5.024364886730999
34330,2S,WW,Perugia,Right,,,34.650234795187
34330,2S,EE,Perugia,Left,,,28.506754825968
34330,2S,EE,Perugia,Right,,,31.086156972242
34330,2S,WW,Perugia,Left,,,28.093145211004998
34330,2S,WW,Perugia,Right,,,33.763624360776994
34330,2S,EE,Perugia,Left,,,26.89275426508
34330,2S,EE,Perugia,Right,,,29.001663606256997
34330,2S,WW,Perugia,Left,,,27.15580590002
34330,2S,WW,Perugia,Right,,,33.080171253535
34330,2S,EE,Perugia,Right,,,30.743495004820996
34330,2S,EE,Perugia,Left,,,28.084585528833
34330,2S,WW,Perugia,Left,,,27.773910631990997
34330,2S,WW,Perugia,Right,,,32.722287035953
34330,2S,WW,Perugia,Right,,,33.173807244814
34330,2S,WW,Perugia,Left,,,27.672333497464
34330,2S,EE,Perugia,Right,,,28.555429546174
34330,2S,EE,Perugia,Left,,,27.630663407311996
34330,2S,EE,Perugia,Left,,,27.778795762084997
34330,2S,EE,Perugia,Right,,,28.920871467957998
34330,2S,EE,Perugia,Left,,,28.51720860399
34330,2S,WW,Perugia,Left,,,27.459105786169996
34330,2S,WW,Perugia,Right,,,36.398053546601
34330,2S,EE,Perugia,Right,,,30.692676710661
34330,2S,EE,Perugia,Left,,,31.923130978229
34330,2S,WW,Perugia,Left,,,29.606650161239997
34330,2S,WW,Perugia,Right,,,38.02318626997
34330,2S,WW,Perugia,Right,,,37.981403407784995
34330,2S,EE,Perugia,Right,,,29.748871671443997
34330,2S,WW,Perugia,Right,,,37.80210506815099
34330,2S,WW,Perugia,Left,,,28.280248307649998
34252,PSS,EE,Brown,Left,20.0,20.052,30.76463
34252,PSS,EE,Brown,Right,20.0,20.009,31.839109999999998
34252,PSS,WW,Brown,Right,20.0,20.014,38.48203
34252,PSS,WW,Brown,Left,20.0,20.079,32.69864
34252,PSS,EE,Brown,Left,20.0,20.006,34.58725
34252,PSS,EE,Brown,Right,20.0,20.095,35.480199999999996
34252,PSS,WW,Brown,Left,20.0,20.039,33.275909999999996
34252,PSS,WW,Brown,Right,20.0,20.007,42.534209999999995
34252,PSS,EE,Brown,Right,20.0,20.003,36.14957
34252,PSS,EE,Brown,Left,20.0,20.007,36.93194
34252,PSS,WW,Brown,Right,20.0,20.003,44.40627
34252,PSS,WW,Brown,Left,20.0,20.054,33.82907
34252,PSS,EE,Brown,Right,20.0,20.024,36.30775
34252,PSS,EE,Brown,Left,20.0,20.066,36.75863
34252,PSS,WW,Brown,Right,20.0,20.0,44.20914
34252,PSS,WW,Brown,Left,20.0,20.061,34.39546
34252,PSS,EE,Brown,Left,20.0,20.097,37.30052
34252,PSS,EE,Brown,Right,20.0,20.027,34.89942
34252,PSS,WW,Brown,Left,20.0,20.128,32.57284
34252,PSS,WW,Brown,Right,20.0,20.065,43.89001
34252,PSS,EE,Brown,Right,20.0,20.114,34.82398
34252,PSS,EE,Brown,Left,20.0,20.089,34.721869999999996
34252,PSS,WW,Brown,Right,20.0,20.061,40.81594
34252,PSS,WW,Brown,Left,20.0,20.102,31.667839999999998
34252,PSS,EE,Brown,Left,20.0,20.066,37.7234
34252,PSS,EE,Brown,Right,20.0,20.041,35.10713
34252,PSS,WW,Brown,Right,20.0,20.066,45.34206
34252,PSS,WW,Brown,Left,20.0,20.057,33.67003
34252,PSS,EE,Brown,Right,20.0,20.105,34.795049999999996
34252,PSS,EE,Brown,Left,20.0,20.097,33.26384
34252,PSS,WW,Brown,Left,20.0,20.103,31.072039999999998
34252,PSS,WW,Brown,Right,20.0,20.051,43.9492
34252,PSS,EE,Brown,Right,20.0,20.064,35.32983
34252,PSS,EE,Brown,Left,20.0,20.169,36.773219999999995
34252,PSS,WW,Brown,Left,20.0,20.179,32.81948
34252,PSS,WW,Brown,Right,20.0,20.075,42.47737
34252,PSS,EE,Brown,Right,20.0,20.097,32.08
34252,PSS,EE,Brown,Left,20.0,20.143,36.81185
34252,PSS,WW,Brown,Right,20.0,20.067,39.20388
34252,PSS,WW,Brown,Left,20.0,20.122,32.83404
34252,PSS,EE,Brown,Left,20.0,20.103,36.80234
34252,PSS,EE,Brown,Right,20.0,20.023,34.910869999999996
34252,PSS,WW,Brown,Right,20.0,20.039,42.78937
34252,PSS,WW,Brown,Left,20.0,20.087,32.76536
34252,PSS,EE,Brown,Right,20.0,20.061,33.452149999999996
34252,PSS,EE,Brown,Left,20.0,20.091,37.95624
34252,PSS,WW,Brown,Left,20.0,20.079,32.57947
34252,PSS,WW,Brown,Right,20.0,20.047,42.70923
34252,PSS,EE,Brown,Left,20.0,20.065,37.165299999999995
34252,PSS,EE,Brown,Right,20.0,20.015,34.88151
34252,PSS,WW,Brown,Left,20.0,20.073,32.064119999999996
34252,PSS,EE,Brown,Right,20.0,20.065,35.21076
34252,PSS,EE,Brown,Left,20.0,20.036,38.3206
34252,PSS,WW,Brown,Left,20.0,20.048,34.23737
34252,PSS,WW,Brown,Right,20.0,20.027,46.60153
34332,2S,EE,Perugia,Left,20.0,20.0,26.061169560885
34332,2S,EE,Perugia,Right,20.0,20.0,28.309353122211
34332,2S,WW,Perugia,Right,20.0,20.0,32.27531312765
34332,2S,WW,Perugia,Left,20.0,20.0,24.760936255945
