batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
34252,PSS,EE,Brown,Right,20.0,20.005,6.446
34252,PSS,EE,Brown,Left,20.0,20.031,7.08
34252,PSS,WW,Brown,Right,20.0,20.005,7.181
34252,PSS,EE,Brown,Left,20.0,20.123,6.785
34252,PSS,EE,Brown,Right,20.0,20.065,6.763
34252,PSS,WW,Brown,Right,20.0,20.004,6.668
34252,PSS,WW,Brown,Left,20.0,20.022,6.737
34252,PSS,EE,Brown,Right,20.0,20.002,6.578
34252,PSS,WW,Brown,Left,20.0,20.032,6.739
34252,PSS,WW,Brown,Right,20.0,20.002,7.047
34252,PSS,EE,Brown,Left,20.0,20.055,6.968
34252,PSS,EE,Brown,Right,20.0,20.009,6.891
34252,PSS,WW,Brown,Right,20.0,20.002,7.152
34252,PSS,WW,Brown,Left,20.0,20.042,6.909
34252,PSS,EE,Brown,Left,20.0,20.085,7.062
34252,PSS,EE,Brown,Right,20.0,20.014,6.789
34252,PSS,WW,Brown,Right,20.0,20.043,7.044
34252,PSS,WW,Brown,Left,20.0,20.104,6.97
34252,PSS,EE,Brown,Right,20.0,20.085,6.474
34252,PSS,EE,Brown,Left,20.0,20.073,7.106
34252,PSS,WW,Brown,Left,20.0,20.081,7.083
34252,PSS,WW,Brown,Right,20.0,20.045,6.907
34252,PSS,EE,Brown,Left,20.0,20.003,6.705
34252,PSS,WW,Brown,Left,20.0,20.034,6.897
34252,PSS,WW,Brown,Right,20.0,20.05,6.941
34252,PSS,EE,Brown,Left,20.0,20.082,7.081
34252,PSS,EE,Brown,Right,20.0,20.089,6.799
34252,PSS,WW,Brown,Right,20.0,20.032,7.088
34252,PSS,EE,Brown,Left,20.0,20.116,7.465
34252,PSS,EE,Brown,Right,20.0,20.051,6.805
34252,PSS,WW,Brown,Right,20.0,20.054,7.167
34252,PSS,WW,Brown,Left,20.0,20.127,7.015
34252,PSS,EE,Brown,Right,20.0,20.099,6.548
34252,PSS,EE,Brown,Left,20.0,20.123,7.278
34252,PSS,WW,Brown,Right,20.0,20.056,6.804
34252,PSS,WW,Brown,Left,20.0,20.103,7.022
34252,PSS,EE,Brown,Left,20.0,20.067,6.943
34252,PSS,EE,Brown,Right,20.0,20.008,6.855
34252,PSS,WW,Brown,Right,20.0,20.025,7.107
34252,PSS,WW,Brown,Left,20.0,20.069,7.217
34252,PSS,EE,Brown,Right,20.0,20.063,7.113
34252,PSS,EE,Brown,Left,20.0,20.064,7.14
34252,PSS,WW,Brown,Left,20.0,20.062,7.055
34252,PSS,WW,Brown,Right,20.0,20.022,7.412
34252,PSS,EE,Brown,Right,20.0,20.005,6.646
34252,PSS,EE,Brown,Left,20.0,20.045,7.046
34252,PSS,WW,Brown,Right,20.0,20.014,6.531
34252,PSS,WW,Brown,Left,20.0,20.059,6.991
34252,PSS,EE,Brown,Right,20.0,20.05,7.181
34252,PSS,EE,Brown,Left,20.0,20.033,7.262
34252,PSS,WW,Brown,Left,20.0,20.032,7.059
34252,PSS,WW,Brown,Right,20.0,20.009,6.901
34332,2S,WW,Perugia,Right,20.0,20.0,5.744
34332,2S,WW,Perugia,Left,20.0,20.0,5.508
34332,2S,WW,Perugia,Left,20.0,20.0,5.508
34332,2S,EE,Perugia,Right,20.0,20.0,5.592
34332,2S,EE,Perugia,Left,20.0,20.0,5.846
34332,2S,WW,Perugia,Left,20.0,20.0,5.681
34332,2S,WW,Perugia,Right,20.0,20.0,5.789
34332,2S,WW,Perugia,Right,20.0,20.0,6.079
34332,2S,WW,Perugia,Left,20.0,20.0,5.792
34332,2S,EE,Perugia,Right,20.0,20.0,5.633
34332,2S,EE,Perugia,Left,20.0,20.0,5.9
34332,2S,WW,Perugia,Right,20.0,20.0,5.984
34332,2S,WW,Perugia,Left,20.0,20.0,5.694
34332,2S,EE,Perugia,Left,20.0,20.0,5.962
34332,2S,EE,Perugia,Right,20.0,20.0,5.683
34332,2S,WW,Perugia,Right,20.0,20.0,6.071
34332,2S,WW,Perugia,Left,20.0,20.0,5.929
34332,2S,WW,Perugia,Right,20.0,20.0,6.008
34332,2S,WW,Perugia,Left,20.0,20.0,5.852
34332,2S,WW,Perugia,Right,20.0,20.0,5.737
34332,2S,WW,Perugia,Left,20.0,20.0,6.049
34332,2S,EE,Perugia,Left,20.0,20.0,5.296
34332,2S,EE,Perugia,Right,20.0,20.0,5.235
34332,2S,WW,Perugia,Left,20.0,20.0,5.16
34332,2S,WW,Perugia,Right,20.0,20.0,5.337
34332,2S,EE,Perugia,Right,20.0,20.0,5.793
34332,2S,EE,Perugia,Left,20.0,20.0,5.634
34332,2S,WW,Perugia,Right,20.0,20.0,5.732
34332,2S,WW,Perugia,Left,20.0,20.0,5.59
34332,2S,EE,Perugia,Right,20.0,20.0,5.487
34332,2S,EE,Perugia,Left,20.0,20.0,5.5
34332,2S,WW,Perugia,Right,20.0,20.0,5.588
34332,2S,WW,Perugia,Left,20.0,20.0,5.432
34332,2S,EE,Perugia,Right,20.0,20.0,5.522
34332,2S,EE,Perugia,Left,20.0,20.0,5.626
34332,2S,WW,Perugia,Left,20.0,20.0,5.867
34332,2S,WW,Perugia,Right,20.0,20.0,5.996
34346,2S,EE,Perugia,Left,20.0,20.0,6.975
34346,2S,EE,Perugia,Right,20.0,20.0,6.356
34346,2S,WW,Perugia,Left,20.0,20.0,6.457
34346,2S,WW,Perugia,Right,20.0,20.0,6.725
34346,2S,EE,Perugia,Left,20.0,20.0,6.677
34346,2S,EE,Perugia,Right,20.0,20.0,6.5
34346,2S,WW,Perugia,Right,20.0,20.0,6.971
34346,2S,WW,Perugia,Left,20.0,20.0,6.548
34346,2S,EE,Perugia,Right,20.0,20.0,6.746
34346,2S,EE,Perugia,Left,20.0,20.0,7.019
34346,2S,WW,Perugia,Right,20.0,20.0,6.752
34346,2S,WW,Perugia,Left,20.0,20.0,6.68
34346,2S,WW,Perugia,Left,20.0,20.0,6.68
34346,2S,EE,Perugia,Left,20.0,20.0,5.7
34346,2S,EE,Perugia,Right,20.0,20.0,5.562
34346,2S,EE,Perugia,Right,20.0,20.0,5.562
34346,2S,EE,Perugia,Left,20.0,20.0,6.858
34346,2S,EE,Perugia,Right,20.0,20.0,6.692
34346,2S,WW,Perugia,Left,20.0,20.0,6.825
34346,2S,EE,Perugia,Left,20.0,20.0,6.938
34346,2S,EE,Perugia,Right,20.0,20.0,6.855
34346,2S,WW,Perugia,Left,20.0,20.0,6.629
34346,2S,WW,Perugia,Right,20.0,20.0,7.256
34346,2S,EE,Perugia,Left,20.0,20.0,7.236
34346,2S,EE,Perugia,Right,20.0,20.0,6.967
34346,2S,WW,Perugia,Left,20.0,20.0,6.872
