batch_number,Type,Average,std
34252,PSS,-1.9145384615384615,0.055826924960344235
34254,PSS,-2.4006363636363637,0.06716104570810405
34331,2S,-2.4146052631578945,0.0496079437152824
34332,2S,-1.95772972972973,0.13151333870850615
34340,PSS,-2.434675,0.04262801985693305
34341,PSS,-2.6453499999999996,0.09511168873137196
34343,PSS,-2.4239,0.07137829879215053
34346,2S,-2.1443023255813953,0.061529526355324105
34348,2S,-1.709625,0.11284225715573042
34352,2S,-1.616,0.0
34353,2S,-2.419125,0.07020465474872085
34359,2S,-2.295892857142857,0.07053517078351972
35500,PSP,-4.26375,0.5255043156000583
35501,PSP,-3.689875,0.61182057068579
35717,2S,-2.15175,0.09134197908331725
35718,2S,-2.21,0.10075855156901439
35722,2S,-2.1546250000000002,0.07364380974858464
35952,2S,-2.46675,0.10257227417080793
35963,2S,-2.418125,0.06968795243286817
36238,2S,-2.42375,0.07155766905091296
36245,2S,-1.9922857142857142,0.17414525956388077
36246,2S,-2.212375,0.08476174592012933
36696,PSS,-2.509375,0.10260038638189571
36697,PSS,-1.764857142857143,0.16389674449830555
36702,2S,-1.931,0.060330044635440755
36703,2S,-2.289,0.09772182742640252
36704,2S,-1.9507999999999999,0.1142918292014886
36705,2S,-2.065,0.12271738082095603
36706,2S,-2.3196666666666665,0.11429377352536178
36795,2S,-2.43725,0.08011375840462293
36796,2S,-2.16675,0.07755504957309808
36797,2S,-2.511,0.09820823357976217
36798,2S,-2.2638,0.08712545233423147
36799,2S,-2.5674,0.09628222404300105
37083,2S,-2.4421,0.11030407467038056
37084,2S,-3.1552,0.08099766800483948
37085,2S,-3.0321111111111114,0.13461653357263023
37086,2S,-0.9229,3.1232678915235916
37087,2S,-2.35075,0.08016545390628065
37088,2S,-2.0854285714285714,0.14084371615713773
37398,PSS,-2.486125,0.0472060453150411
37399,PSS,-2.268125,0.0790667665421356
37400,2S,-7.79,0.07745966692414838
37401,2S,-2.3320000000000003,0.06949820141557626
37402,2S,-2.4452,0.10800493815870953
37403,2S,-2.534625,0.09988269905958987
37406,2S,-2.4438750000000002,0.07131907679075572
37407,2S,-2.573625,0.10624760501502413
37408,2S,-2.7155,0.0907055676350686
37895,PSS,-2.4539999999999997,0.09797667360871444
37896,PSS,-2.252125,0.07864465743365637
37897,2S,-2.608,0.06410928169929825
37900,2S,-2.412625,0.07251982487568498
37901,2S,-1.644,0.10508635904408747
37903,2S,-1.852125,0.13233230628124903
37904,2S,-2.708,0.04098780306383833
37905,2S,-2.783,0.06480740698407861
38194,2S,-2.461875,0.1222893962229408
38195,2S,-2.25375,0.1207840457771046
38196,2S,-2.708,0.035071355833500455
38198,2S,-2.322875,0.07528505353464439
38199,2S,-2.5098333333333334,0.08502803459251919
38201,2S,-2.095625,0.0722079091433696
38202,2S,-2.242125,0.12081560625302393
38212,PSS,-1.96825,0.13227541613726143
38213,PSS,-2.267875,0.11200183353091034
38693,2S,-2.114625,0.07940841535109125
38694,2S,-2.382375,0.08380749625523619
38695,2S,-2.378875,0.07456624571480046
38696,2S,-2.4471,0.08665057542926208
38711,PSS,-2.483375,0.06541502121072797
38713,2S,-2.44775,0.0637444675470519
38714,2S,-2.2445,0.0780864905089224
38715,2S,-2.348,0.07317786550590279
38716,2S,-2.1958333333333333,0.08149948875095256
38869,2S,-2.3495000000000004,0.03882653731663431
38870,2S,-2.698,0.08087026647662285
38872,2S,-2.6505,0.010606601717798144
38873,2S,-2.4,0.12353946737783825
38874,2S,-2.563375,0.10277150452755436
38875,2S,-2.280666666666667,0.11133672649519864
38876,2S,-2.7105,0.045000000000000186
38877,2S,-2.17375,0.1160760218871361
38882,2S,-2.047,0.0612372435695793
38883,2S,-2.7205,0.10875431025940997
38884,2S,-2.5051666666666668,0.11090431311119807
