batch_number,Type,Average,std
34252,PSS,-1.6658269230769231,0.06209818953309415
34254,PSS,-2.196,0.06746851117373195
34331,2S,-2.1787105263157893,0.041985781309247315
34340,PSS,-2.251225,0.04192575091448664
34341,PSS,-2.471875,0.09149364206578284
34343,PSS,-2.2325,0.06971406803544941
34353,2S,-2.2129375,0.06753729555084795
34359,2S,-2.10225,0.07222322648874425
35500,PSP,-4.09025,0.5252261417713325
35501,PSP,-3.501,0.6111032178422421
35717,2S,-1.95425,0.09100510189779774
35718,2S,-2.0095,0.09599553561047963
35722,2S,-1.951,0.07131619731870179
35952,2S,-2.276375,0.09813392816525199
35963,2S,-2.1995,0.07272060034327078
36238,2S,-2.186625,0.06836861748743214
36245,2S,-1.7474285714285713,0.18789966927667995
36246,2S,-1.996,0.08914995392996176
36696,PSS,-2.277125,0.10875981072331588
36697,PSS,-1.5032857142857143,0.17505781357950892
36706,2S,-2.120833333333333,0.10011276974825264
36795,2S,-2.24225,0.08174306436284703
36796,2S,-1.980875,0.07407609504518205
36797,2S,-2.31425,0.09786105310227186
37087,2S,-2.142375,0.0775074881175083
37088,2S,-1.887,0.14386220258752247
37398,PSS,-2.264125,0.04772671459166536
37399,PSS,-2.08,0.08009637052593939
37406,2S,-2.2475,0.06346877747590299
37407,2S,-2.38125,0.11235752883413865
37895,PSS,-2.273,0.10008425022378471
37896,PSS,-2.07375,0.08493653092582885
37903,2S,-1.63775,0.13950089605446986
38202,2S,-2.07275,0.12852765127729188
38212,PSS,-1.771375,0.1443902821225466
38693,2S,-1.951875,0.0787172834534177
38694,2S,-2.219125,0.08119190230558707
38695,2S,-2.205,0.07502380574571943
38696,2S,-2.2844,0.08752167985387639
38713,2S,-2.2675,0.06994079128601745
38873,2S,-2.211333333333333,0.11203868379567232
38874,2S,-2.40125,0.10250540055459104
38875,2S,-2.0995,0.10295970085426635
39563,PSS,-2.175875,0.08369747820061761
39564,2S,-2.2481666666666666,0.05816327592791407
39565,2S,-2.5145,0.07236504681128877
39566,2S,-2.17325,0.09177573597790294
39567,2S,-2.432,0.09270845238087588
39569,2S,-2.20475,0.15403976759265778
39570,2S,-2.313,0.14283556979968257
39571,2S,-2.1365,0.1055698820687036
39572,2S,-2.172,0.09841070402485014
41352,2S,-2.4605,0.06574952471311105
41354,2S,-2.0578333333333334,0.10892826385592791
41727,PSS,-2.042,0.10958753839478519
41729,PSS,-2.0692500000000003,0.0787305531544141
41751,2S,-2.162,0.0869459602281786
41752,2S,-2.269,0.05403173670564902
41753,2S,-2.095875,0.09877743741795054
41754,2S,-2.3728333333333333,0.07940633895770961
41755,2S,-2.197,0.10996492947429087
42240,PSS,-1.683,0.1296985515945119
42247,2S,-2.2661666666666664,0.05413470852112037
42249,2S,-2.18,0.06889412166505932
42251,2S,-2.0236666666666667,0.08177204086157222
42256,2S,-2.359375,0.11384191733652928
42257,2S,-2.6105,0.5351101355261898
42902,2S,-2.520375,0.3646595036077197
42903,2S,-1.7045,0.04338860943348419
42904,2S,-2.7505,0.5082912550890483
42905,2S,-2.452375,0.08672112528921992
42908,2S,-2.486125,0.07619043340772605
42909,2S,-2.4535714285714287,0.26377190723733085
43269,2S,-2.280625,0.09734172134437377
43272,2S,-2.2977499999999997,0.049184056650213456
43273,2S,-2.1766666666666667,0.11013385794871008
43274,2S,-2.4453333333333336,0.08506624869280813
43275,2S,-2.199666666666667,0.07258007072652019
43276,2S,-2.569125,0.08831022833495246
43277,2S,-2.3167500000000003,0.08551983896817641
44169,2S,-2.372625,0.07100691616213962
44170,2S,-2.1265,0.0892732562737254
44171,2S,-2.3255,0.09021719823372296
44172,2S,-2.14525,0.0798869737280652
44174,2S,-2.366,0.11539002185135926
44175,2S,-1.686625,0.20243230790986466
45777,PSS,-2.32425,0.07525717811041566
45789,PSP,-4.245375,0.39515022007911293
46229,PSS,-1.629875,0.17563308954424608
46230,PSP,-4.2535,0.3094626679538954
46232,PSP,-3.9216249999999997,0.5949050194298727
46805,2S,-2.9121666666666663,0.12292667190917769
46806,2S,-2.591125,0.1660244710878491
46807,2S,-2.473,0.12161766788940302
46808,2S,-1.625375,0.10419615773009239
46811,PSP,-4.345,0.381290290611085
47345,PSS,-2.130625,0.09180404208343536
47346,PSS,-2.226625,0.08186563468792712
47347,PSS,-2.125,0.14536456632500633
47365,2S,-2.166375,0.0797799428786101
47366,2S,-1.9312500000000001,0.08910146703938972
47375,2S,-1.859375,0.13582019363850134
47376,2S,-2.428375,0.17090008568082796
47991,2S,-2.024125,0.09939738067833714
47992,2S,-2.0535,0.0980612053770501
48216,2S,-1.74075,0.06388102781175112
48217,2S,-2.250625,0.07244098583379047
48235,2S,-2.530125,0.10416530475300165
48236,2S,-2.23725,0.11241345877734445
48237,2S,-2.19525,0.08650970218090322
48238,2S,-2.338125,0.13038562311192806
48240,2S,-1.9713749999999999,0.08992208929321588
48241,2S,-2.151125,0.12314386186199337
48242,2S,-2.210875,0.09455525595423767
48243,2S,-2.114375,0.13858977234991027
