Extended_Flutes_18-Jan-21_11:51:25 AM	Left_PQC1_FETPSs_trans	
Temperature(C)= 19.4	Humidity(%)= 21.6	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	723.030E-15
-4.900E+0	454.590E-15
-4.800E+0	415.320E-15
-4.700E+0	416.670E-15
-4.600E+0	424.790E-15
-4.500E+0	437.840E-15
-4.400E+0	444.950E-15
-4.300E+0	451.020E-15
-4.200E+0	460.590E-15
-4.100E+0	464.990E-15
-4.000E+0	468.730E-15
-3.900E+0	470.520E-15
-3.800E+0	475.540E-15
-3.700E+0	481.860E-15
-3.600E+0	487.680E-15
-3.500E+0	490.710E-15
-3.400E+0	501.800E-15
-3.300E+0	504.400E-15
-3.200E+0	513.160E-15
-3.100E+0	516.960E-15
-3.000E+0	521.930E-15
-2.900E+0	534.480E-15
-2.800E+0	546.370E-15
-2.700E+0	560.580E-15
-2.600E+0	592.750E-15
-2.500E+0	647.470E-15
-2.400E+0	739.860E-15
-2.300E+0	852.990E-15
-2.200E+0	938.440E-15
-2.100E+0	996.370E-15
-2.000E+0	1.020E-12
-1.900E+0	1.033E-12
-1.800E+0	1.039E-12
-1.700E+0	1.029E-12
-1.600E+0	1.031E-12
-1.500E+0	1.024E-12
-1.400E+0	1.013E-12
-1.300E+0	1.013E-12
-1.200E+0	1.009E-12
-1.100E+0	1.008E-12
-1.000E+0	1.005E-12
-900.000E-3	1.007E-12
-800.000E-3	1.007E-12
-700.000E-3	1.010E-12
-600.000E-3	1.014E-12
-500.000E-3	1.015E-12
-400.000E-3	1.012E-12
-300.000E-3	1.013E-12
-200.000E-3	1.011E-12
-100.000E-3	1.008E-12
0.000E+0	1.023E-12
100.000E-3	1.023E-12
200.000E-3	1.019E-12
300.000E-3	1.025E-12
400.000E-3	1.025E-12
500.000E-3	1.030E-12
600.000E-3	1.031E-12
700.000E-3	1.026E-12
800.000E-3	1.032E-12
900.000E-3	1.035E-12
1.000E+0	1.035E-12
1.100E+0	1.035E-12
1.200E+0	1.035E-12
1.300E+0	1.042E-12
1.400E+0	1.054E-12
1.500E+0	1.061E-12
1.600E+0	1.074E-12
1.700E+0	1.099E-12
1.800E+0	1.140E-12
1.900E+0	1.199E-12
2.000E+0	1.300E-12
2.100E+0	1.469E-12
2.200E+0	1.766E-12
2.300E+0	2.273E-12
2.400E+0	3.164E-12
2.500E+0	4.796E-12
2.600E+0	7.857E-12
2.700E+0	13.995E-12
2.800E+0	28.363E-12
2.900E+0	59.580E-12
3.000E+0	134.730E-12
3.100E+0	887.055E-12
3.200E+0	1.085E-9
3.300E+0	2.790E-9
3.400E+0	6.895E-9
3.500E+0	15.825E-9
3.600E+0	33.663E-9
3.700E+0	66.870E-9
3.800E+0	123.920E-9
3.900E+0	214.000E-9
4.000E+0	348.835E-9
4.100E+0	536.896E-9
4.200E+0	779.592E-9
4.300E+0	1.072E-6
4.400E+0	1.402E-6
4.500E+0	1.754E-6
4.600E+0	2.108E-6
4.700E+0	2.456E-6
4.800E+0	2.790E-6
4.900E+0	3.103E-6
5.000E+0	3.396E-6
5.100E+0	3.671E-6
5.200E+0	3.926E-6
5.300E+0	4.166E-6
5.400E+0	4.391E-6
5.500E+0	4.604E-6
5.600E+0	4.805E-6
5.700E+0	4.996E-6
5.800E+0	5.179E-6
5.900E+0	5.354E-6
6.000E+0	5.523E-6
6.100E+0	5.683E-6
6.200E+0	5.838E-6
6.300E+0	5.988E-6
6.400E+0	6.134E-6
6.500E+0	6.274E-6
6.600E+0	6.410E-6
6.700E+0	6.546E-6
6.800E+0	6.673E-6
6.900E+0	6.801E-6
7.000E+0	6.926E-6
7.100E+0	7.048E-6
7.200E+0	7.169E-6
7.300E+0	7.286E-6
7.400E+0	7.400E-6
7.500E+0	7.502E-6
7.600E+0	7.611E-6
7.700E+0	7.723E-6
7.800E+0	7.834E-6
7.900E+0	7.940E-6
8.000E+0	8.048E-6
8.100E+0	8.149E-6
8.200E+0	8.249E-6
8.300E+0	8.350E-6
8.400E+0	8.446E-6
8.500E+0	8.540E-6
8.600E+0	8.641E-6
8.700E+0	8.737E-6
8.800E+0	8.834E-6
8.900E+0	8.931E-6
9.000E+0	9.024E-6
