Extended_Flutes_18-Jan-21_12:56:10 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 19.9	Humidity(%)= 20.9	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	8.021E-12
-4.900E+0	25.554E-12
-4.800E+0	27.776E-12
-4.700E+0	28.228E-12
-4.600E+0	28.406E-12
-4.500E+0	28.512E-12
-4.400E+0	28.581E-12
-4.300E+0	28.711E-12
-4.200E+0	28.807E-12
-4.100E+0	28.984E-12
-4.000E+0	29.102E-12
-3.900E+0	29.262E-12
-3.800E+0	29.482E-12
-3.700E+0	29.794E-12
-3.600E+0	30.119E-12
-3.500E+0	30.415E-12
-3.400E+0	30.820E-12
-3.300E+0	31.235E-12
-3.200E+0	31.794E-12
-3.100E+0	32.682E-12
-3.000E+0	33.699E-12
-2.900E+0	35.796E-12
-2.800E+0	38.645E-12
-2.700E+0	42.905E-12
-2.600E+0	50.067E-12
-2.500E+0	60.796E-12
-2.400E+0	73.950E-12
-2.300E+0	88.366E-12
-2.200E+0	100.527E-12
-2.100E+0	109.673E-12
-2.000E+0	112.303E-12
-1.900E+0	109.376E-12
-1.800E+0	105.246E-12
-1.700E+0	100.380E-12
-1.600E+0	95.923E-12
-1.500E+0	92.778E-12
-1.400E+0	90.031E-12
-1.300E+0	88.184E-12
-1.200E+0	87.207E-12
-1.100E+0	86.170E-12
-1.000E+0	85.613E-12
-900.000E-3	85.412E-12
-800.000E-3	85.297E-12
-700.000E-3	85.038E-12
-600.000E-3	84.964E-12
-500.000E-3	84.792E-12
-400.000E-3	84.761E-12
-300.000E-3	85.142E-12
-200.000E-3	84.752E-12
-100.000E-3	84.662E-12
0.000E+0	84.511E-12
100.000E-3	84.506E-12
200.000E-3	84.203E-12
300.000E-3	84.232E-12
400.000E-3	84.394E-12
500.000E-3	84.422E-12
600.000E-3	84.370E-12
700.000E-3	84.449E-12
800.000E-3	84.929E-12
900.000E-3	84.815E-12
1.000E+0	85.554E-12
1.100E+0	85.899E-12
1.200E+0	86.757E-12
1.300E+0	88.145E-12
1.400E+0	91.079E-12
1.500E+0	95.752E-12
1.600E+0	102.739E-12
1.700E+0	114.889E-12
1.800E+0	133.734E-12
1.900E+0	55.531E-12
2.000E+0	197.711E-12
2.100E+0	313.856E-12
2.200E+0	435.896E-12
2.300E+0	629.989E-12
2.400E+0	869.585E-12
2.500E+0	1.212E-9
2.600E+0	1.646E-9
2.700E+0	2.187E-9
2.800E+0	2.943E-9
2.900E+0	4.089E-9
3.000E+0	6.096E-9
3.100E+0	10.022E-9
3.200E+0	17.899E-9
3.300E+0	33.345E-9
3.400E+0	62.014E-9
3.500E+0	111.973E-9
3.600E+0	193.481E-9
3.700E+0	314.012E-9
3.800E+0	486.057E-9
3.900E+0	712.418E-9
4.000E+0	988.552E-9
4.100E+0	1.306E-6
4.200E+0	1.647E-6
4.300E+0	1.995E-6
4.400E+0	2.337E-6
4.500E+0	2.666E-6
4.600E+0	2.979E-6
4.700E+0	3.272E-6
4.800E+0	3.546E-6
4.900E+0	3.803E-6
5.000E+0	4.045E-6
5.100E+0	4.272E-6
5.200E+0	4.485E-6
5.300E+0	4.688E-6
5.400E+0	4.882E-6
5.500E+0	5.068E-6
5.600E+0	5.244E-6
5.700E+0	5.411E-6
5.800E+0	5.577E-6
5.900E+0	5.733E-6
6.000E+0	5.886E-6
6.100E+0	6.032E-6
6.200E+0	6.177E-6
6.300E+0	6.317E-6
6.400E+0	6.451E-6
6.500E+0	6.585E-6
6.600E+0	6.715E-6
6.700E+0	6.841E-6
6.800E+0	6.964E-6
6.900E+0	7.087E-6
7.000E+0	7.206E-6
7.100E+0	7.328E-6
7.200E+0	7.440E-6
7.300E+0	7.557E-6
7.400E+0	7.666E-6
7.500E+0	7.774E-6
7.600E+0	7.884E-6
7.700E+0	7.988E-6
7.800E+0	8.093E-6
7.900E+0	8.198E-6
8.000E+0	8.303E-6
8.100E+0	8.402E-6
8.200E+0	8.504E-6
8.300E+0	8.601E-6
8.400E+0	8.700E-6
8.500E+0	8.803E-6
8.600E+0	8.897E-6
8.700E+0	8.998E-6
8.800E+0	9.090E-6
