Extended_Flutes_20-Jan-21_11:59:45 AM	Left_PQC1_FETPSs_trans	
Temperature(C)= 19.7	Humidity(%)= 20.6	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	637.910E-15
-4.900E+0	43.060E-15
-4.800E+0	-13.870E-15
-4.700E+0	19.790E-15
-4.600E+0	67.770E-15
-4.500E+0	99.030E-15
-4.400E+0	124.330E-15
-4.300E+0	154.300E-15
-4.200E+0	169.310E-15
-4.100E+0	194.790E-15
-4.000E+0	210.440E-15
-3.900E+0	224.130E-15
-3.800E+0	237.060E-15
-3.700E+0	235.880E-15
-3.600E+0	231.200E-15
-3.500E+0	247.770E-15
-3.400E+0	259.050E-15
-3.300E+0	266.940E-15
-3.200E+0	275.300E-15
-3.100E+0	283.770E-15
-3.000E+0	303.940E-15
-2.900E+0	320.870E-15
-2.800E+0	338.590E-15
-2.700E+0	371.460E-15
-2.600E+0	422.290E-15
-2.500E+0	519.110E-15
-2.400E+0	632.730E-15
-2.300E+0	708.040E-15
-2.200E+0	762.920E-15
-2.100E+0	783.240E-15
-2.000E+0	800.660E-15
-1.900E+0	821.920E-15
-1.800E+0	824.800E-15
-1.700E+0	825.530E-15
-1.600E+0	816.560E-15
-1.500E+0	808.350E-15
-1.400E+0	808.300E-15
-1.300E+0	803.270E-15
-1.200E+0	809.610E-15
-1.100E+0	807.160E-15
-1.000E+0	808.860E-15
-900.000E-3	814.860E-15
-800.000E-3	810.700E-15
-700.000E-3	815.890E-15
-600.000E-3	819.470E-15
-500.000E-3	821.810E-15
-400.000E-3	823.290E-15
-300.000E-3	825.570E-15
-200.000E-3	828.100E-15
-100.000E-3	830.690E-15
0.000E+0	839.910E-15
100.000E-3	839.940E-15
200.000E-3	839.990E-15
300.000E-3	845.590E-15
400.000E-3	844.110E-15
500.000E-3	846.710E-15
600.000E-3	851.200E-15
700.000E-3	851.980E-15
800.000E-3	856.230E-15
900.000E-3	864.670E-15
1.000E+0	869.240E-15
1.100E+0	868.550E-15
1.200E+0	883.250E-15
1.300E+0	887.680E-15
1.400E+0	906.810E-15
1.500E+0	931.440E-15
1.600E+0	967.740E-15
1.700E+0	1.037E-12
1.800E+0	1.138E-12
1.900E+0	1.321E-12
2.000E+0	1.645E-12
2.100E+0	2.237E-12
2.200E+0	3.348E-12
2.300E+0	5.591E-12
2.400E+0	10.680E-12
2.500E+0	23.887E-12
2.600E+0	56.311E-12
2.700E+0	141.559E-12
2.800E+0	965.776E-12
2.900E+0	1.374E-9
3.000E+0	3.663E-9
3.100E+0	9.075E-9
3.200E+0	20.778E-9
3.300E+0	43.952E-9
3.400E+0	86.229E-9
3.500E+0	157.710E-9
3.600E+0	266.134E-9
3.700E+0	424.885E-9
3.800E+0	636.521E-9
3.900E+0	900.226E-9
4.000E+0	1.206E-6
4.100E+0	1.539E-6
4.200E+0	1.884E-6
4.300E+0	2.222E-6
4.400E+0	2.551E-6
4.500E+0	2.862E-6
4.600E+0	3.153E-6
4.700E+0	3.426E-6
4.800E+0	3.681E-6
4.900E+0	3.919E-6
5.000E+0	4.144E-6
5.100E+0	4.356E-6
5.200E+0	4.556E-6
5.300E+0	4.751E-6
5.400E+0	4.942E-6
5.500E+0	5.123E-6
5.600E+0	5.290E-6
5.700E+0	5.452E-6
5.800E+0	5.608E-6
5.900E+0	5.756E-6
6.000E+0	5.903E-6
6.100E+0	6.046E-6
6.200E+0	6.185E-6
6.300E+0	6.322E-6
6.400E+0	6.453E-6
6.500E+0	6.587E-6
6.600E+0	6.713E-6
6.700E+0	6.841E-6
6.800E+0	6.964E-6
6.900E+0	7.085E-6
7.000E+0	7.201E-6
7.100E+0	7.315E-6
7.200E+0	7.425E-6
7.300E+0	7.535E-6
7.400E+0	7.644E-6
7.500E+0	7.752E-6
7.600E+0	7.858E-6
7.700E+0	7.961E-6
7.800E+0	8.050E-6
7.900E+0	8.145E-6
8.000E+0	8.248E-6
8.100E+0	8.352E-6
8.200E+0	8.454E-6
8.300E+0	8.544E-6
8.400E+0	8.637E-6
8.500E+0	8.724E-6
8.600E+0	8.821E-6
8.700E+0	8.914E-6
8.800E+0	9.003E-6
