Extended_Flutes_22-Jan-21_4:47:10 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 21.0	Humidity(%)= 24.9	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	915.470E-15
-4.900E+0	847.880E-15
-4.800E+0	811.070E-15
-4.700E+0	802.380E-15
-4.600E+0	792.430E-15
-4.500E+0	785.690E-15
-4.400E+0	784.190E-15
-4.300E+0	784.170E-15
-4.200E+0	779.940E-15
-4.100E+0	782.060E-15
-4.000E+0	781.950E-15
-3.900E+0	784.850E-15
-3.800E+0	783.060E-15
-3.700E+0	784.970E-15
-3.600E+0	790.120E-15
-3.500E+0	790.870E-15
-3.400E+0	792.270E-15
-3.300E+0	797.020E-15
-3.200E+0	805.320E-15
-3.100E+0	810.990E-15
-3.000E+0	823.560E-15
-2.900E+0	837.760E-15
-2.800E+0	860.480E-15
-2.700E+0	903.470E-15
-2.600E+0	986.230E-15
-2.500E+0	1.119E-12
-2.400E+0	1.272E-12
-2.300E+0	1.377E-12
-2.200E+0	1.439E-12
-2.100E+0	1.461E-12
-2.000E+0	1.471E-12
-1.900E+0	1.469E-12
-1.800E+0	1.456E-12
-1.700E+0	1.445E-12
-1.600E+0	1.437E-12
-1.500E+0	1.431E-12
-1.400E+0	1.435E-12
-1.300E+0	1.435E-12
-1.200E+0	1.429E-12
-1.100E+0	1.427E-12
-1.000E+0	1.428E-12
-900.000E-3	1.423E-12
-800.000E-3	1.426E-12
-700.000E-3	1.425E-12
-600.000E-3	1.425E-12
-500.000E-3	1.426E-12
-400.000E-3	1.430E-12
-300.000E-3	1.427E-12
-200.000E-3	1.428E-12
-100.000E-3	1.427E-12
0.000E+0	1.442E-12
100.000E-3	1.431E-12
200.000E-3	1.426E-12
300.000E-3	1.428E-12
400.000E-3	1.432E-12
500.000E-3	1.430E-12
600.000E-3	1.432E-12
700.000E-3	1.434E-12
800.000E-3	1.434E-12
900.000E-3	1.436E-12
1.000E+0	1.442E-12
1.100E+0	1.440E-12
1.200E+0	1.448E-12
1.300E+0	1.458E-12
1.400E+0	1.474E-12
1.500E+0	1.497E-12
1.600E+0	1.539E-12
1.700E+0	1.611E-12
1.800E+0	1.719E-12
1.900E+0	1.907E-12
2.000E+0	2.230E-12
2.100E+0	2.785E-12
2.200E+0	3.729E-12
2.300E+0	5.422E-12
2.400E+0	8.461E-12
2.500E+0	14.203E-12
2.600E+0	26.431E-12
2.700E+0	50.076E-12
2.800E+0	104.641E-12
2.900E+0	749.100E-12
3.000E+0	690.100E-12
3.100E+0	1.752E-9
3.200E+0	4.342E-9
3.300E+0	10.165E-9
3.400E+0	22.393E-9
3.500E+0	45.950E-9
3.600E+0	87.996E-9
3.700E+0	158.522E-9
3.800E+0	264.880E-9
3.900E+0	420.531E-9
4.000E+0	629.194E-9
4.100E+0	891.313E-9
4.200E+0	1.198E-6
4.300E+0	1.533E-6
4.400E+0	1.884E-6
4.500E+0	2.231E-6
4.600E+0	2.569E-6
4.700E+0	2.890E-6
4.800E+0	3.193E-6
4.900E+0	3.476E-6
5.000E+0	3.741E-6
5.100E+0	3.990E-6
5.200E+0	4.222E-6
5.300E+0	4.442E-6
5.400E+0	4.651E-6
5.500E+0	4.848E-6
5.600E+0	5.035E-6
5.700E+0	5.215E-6
5.800E+0	5.386E-6
5.900E+0	5.549E-6
6.000E+0	5.708E-6
6.100E+0	5.860E-6
6.200E+0	6.011E-6
6.300E+0	6.154E-6
6.400E+0	6.295E-6
6.500E+0	6.433E-6
6.600E+0	6.564E-6
6.700E+0	6.692E-6
6.800E+0	6.818E-6
6.900E+0	6.939E-6
7.000E+0	7.060E-6
7.100E+0	7.182E-6
7.200E+0	7.299E-6
7.300E+0	7.414E-6
7.400E+0	7.528E-6
7.500E+0	7.635E-6
7.600E+0	7.745E-6
7.700E+0	7.852E-6
7.800E+0	7.960E-6
7.900E+0	8.067E-6
8.000E+0	8.168E-6
8.100E+0	8.274E-6
8.200E+0	8.375E-6
8.300E+0	8.476E-6
8.400E+0	8.572E-6
8.500E+0	8.672E-6
8.600E+0	8.768E-6
8.700E+0	8.869E-6
8.800E+0	8.960E-6
8.900E+0	9.056E-6
