Custom_Flutes_29-Jan-21_10:40:10 AM	Left_PQC1_FETPSs_trans	
Temperature(C)= 19.2	Humidity(%)= 16.0	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	-1.105E-9
-4.900E+0	-1.107E-9
-4.800E+0	-1.108E-9
-4.700E+0	-1.109E-9
-4.600E+0	-1.110E-9
-4.500E+0	-1.111E-9
-4.400E+0	-1.110E-9
-4.300E+0	-1.114E-9
-4.200E+0	-1.114E-9
-4.100E+0	-1.116E-9
-4.000E+0	-1.117E-9
-3.900E+0	-1.119E-9
-3.800E+0	-1.116E-9
-3.700E+0	-1.118E-9
-3.600E+0	-1.120E-9
-3.500E+0	-1.122E-9
-3.400E+0	-1.123E-9
-3.300E+0	-1.123E-9
-3.200E+0	-1.123E-9
-3.100E+0	-1.122E-9
-3.000E+0	-1.124E-9
-2.900E+0	-1.125E-9
-2.800E+0	-1.124E-9
-2.700E+0	-1.123E-9
-2.600E+0	-1.121E-9
-2.500E+0	-1.116E-9
-2.400E+0	-1.113E-9
-2.300E+0	-1.105E-9
-2.200E+0	-1.100E-9
-2.100E+0	-1.098E-9
-2.000E+0	-1.096E-9
-1.900E+0	-1.093E-9
-1.800E+0	-1.097E-9
-1.700E+0	-1.101E-9
-1.600E+0	-1.101E-9
-1.500E+0	-1.102E-9
-1.400E+0	-1.109E-9
-1.300E+0	-1.110E-9
-1.200E+0	-1.111E-9
-1.100E+0	-1.113E-9
-1.000E+0	-1.116E-9
-900.000E-3	-1.118E-9
-800.000E-3	-1.122E-9
-700.000E-3	-1.129E-9
-600.000E-3	-1.139E-9
-500.000E-3	-1.155E-9
-400.000E-3	-1.174E-9
-300.000E-3	-1.202E-9
-200.000E-3	-1.238E-9
-100.000E-3	-1.274E-9
0.000E+0	-1.305E-9
100.000E-3	-1.351E-9
200.000E-3	-1.387E-9
300.000E-3	-1.416E-9
400.000E-3	-1.442E-9
500.000E-3	-1.459E-9
600.000E-3	-1.470E-9
700.000E-3	-1.476E-9
800.000E-3	-1.483E-9
900.000E-3	-1.482E-9
1.000E+0	-1.483E-9
1.100E+0	-1.487E-9
1.200E+0	-1.487E-9
1.300E+0	-1.491E-9
1.400E+0	-1.499E-9
1.500E+0	-1.503E-9
1.600E+0	-1.509E-9
1.700E+0	-1.514E-9
1.800E+0	-1.520E-9
1.900E+0	-1.528E-9
2.000E+0	-1.533E-9
2.100E+0	-1.541E-9
2.200E+0	-1.543E-9
2.300E+0	-1.549E-9
2.400E+0	-1.546E-9
2.500E+0	-1.536E-9
2.600E+0	-1.525E-9
2.700E+0	-1.490E-9
2.800E+0	-1.429E-9
2.900E+0	-1.304E-9
3.000E+0	-1.080E-9
3.100E+0	-653.498E-12
3.200E+0	41.473E-12
3.300E+0	1.810E-9
3.400E+0	4.610E-9
3.500E+0	10.183E-9
3.600E+0	20.512E-9
3.700E+0	39.443E-9
3.800E+0	72.427E-9
3.900E+0	127.641E-9
4.000E+0	213.164E-9
4.100E+0	341.335E-9
4.200E+0	519.896E-9
4.300E+0	750.986E-9
4.400E+0	1.033E-6
4.500E+0	1.353E-6
4.600E+0	1.698E-6
4.700E+0	2.050E-6
4.800E+0	2.395E-6
4.900E+0	2.728E-6
5.000E+0	3.044E-6
5.100E+0	3.342E-6
5.200E+0	3.619E-6
5.300E+0	3.882E-6
5.400E+0	4.125E-6
5.500E+0	4.354E-6
5.600E+0	4.571E-6
5.700E+0	4.776E-6
5.800E+0	4.972E-6
5.900E+0	5.158E-6
6.000E+0	5.336E-6
6.100E+0	5.508E-6
6.200E+0	5.672E-6
6.300E+0	5.831E-6
6.400E+0	5.985E-6
6.500E+0	6.136E-6
6.600E+0	6.279E-6
6.700E+0	6.420E-6
6.800E+0	6.558E-6
6.900E+0	6.691E-6
7.000E+0	6.823E-6
7.100E+0	6.954E-6
7.200E+0	7.081E-6
7.300E+0	7.207E-6
7.400E+0	7.329E-6
7.500E+0	7.445E-6
7.600E+0	7.562E-6
7.700E+0	7.675E-6
7.800E+0	7.786E-6
7.900E+0	7.900E-6
8.000E+0	8.012E-6
8.100E+0	8.122E-6
8.200E+0	8.233E-6
8.300E+0	8.339E-6
8.400E+0	8.444E-6
8.500E+0	8.552E-6
8.600E+0	8.655E-6
8.700E+0	8.755E-6
8.800E+0	8.854E-6
8.900E+0	8.953E-6
9.000E+0	9.048E-6
