Name,Rsh_s [Omega/square]
VPX37077_006_PSS_HM_E_Left,18.0811
VPX37077_006_PSS_HM_W_Left,18.3364
VPX37077_019_PSS_HM_E_Left,17.4157
VPX37077_019_PSS_HM_W_Left,17.762
VPX37077_028_PSS_HM_E_Left,17.4216
VPX37077_028_PSS_HM_W_Left,17.6082
VPX37077_037_PSS_HM_E_Left,17.5697
VPX37077_037_PSS_HM_W_Left,17.8431
VPX37077_009_PSS_HM_E_Left,17.6473
VPX37077_009_PSS_HM_W_Left,18.300
VPX37077_020_PSS_HM_E_Left,18.262
VPX37077_020_PSS_HM_W_Left,18.4086
VPX37077_032_PSS_HM_E_Left,18.1319
VPX37077_032_PSS_HM_W_Left,18.2245
VPX37077_009_PSS_HM_E_Right,17.7384
VPX37077_009_PSS_HM_W_Right,18.2357
VPX37077_020_PSS_HM_E_Right,18.4186
VPX37077_020_PSS_HM_W_Right,18.3139
VPX37077_032_PSS_HM_E_Right,18.2127
VPX37077_032_PSS_HM_W_Right,18.1832
