Name,V_th [V]
VPX37077_006_PSS_HM_E_Left,4.08148
VPX37077_006_PSS_HM_W_Left,4.06106
VPX37077_019_PSS_HM_E_Left,4.01181
VPX37077_019_PSS_HM_W_Left,4.0026
VPX37077_028_PSS_HM_E_Left,4.18238
VPX37077_028_PSS_HM_W_Left,4.1966
VPX37077_037_PSS_HM_E_Left,4.15916
VPX37077_037_PSS_HM_W_Left,4.07528
VPX37077_009_PSS_HM_E_Left,4.06907
VPX37077_009_PSS_HM_W_Left,3.999
VPX37077_020_PSS_HM_E_Left,3.98018
VPX37077_020_PSS_HM_W_Left,3.88919
VPX37077_032_PSS_HM_E_Left,4.21672
VPX37077_032_PSS_HM_W_Left,4.21672
VPX37077_009_PSS_HM_E_Right,4.06096
VPX37077_009_PSS_HM_W_Right,4.0026
VPX37077_020_PSS_HM_E_Right,3.88889
VPX37077_020_PSS_HM_W_Right,4.01802
VPX37077_032_PSS_HM_E_Right,4.16336
VPX37077_032_PSS_HM_W_Right,4.21672
