batch_number,Type,Average,std
34252,PSS,3.989537018867925,0.23339024946852507
34254,PSS,4.056030125,0.04541222434826132
34330,2S,3.9339411971929827,0.21324962565249225
34331,2S,3.85334595,0.10194201140516489
34332,2S,4.084596140589744,0.06740884783250724
34340,PSS,4.097929025,0.0838695808699856
34341,PSS,4.0579011000000005,0.07121482118959953
34343,PSS,3.989620675,0.03532897359826697
34346,2S,4.069669173,0.03184265496515484
34348,2S,4.324476033565218,0.3282386008850604
34352,2S,4.1357880359,0.16842577518610158
34353,2S,3.9723363863636365,0.07689463987222915
34354,2S,4.006802617244444,0.047806747761056166
34357,2S,4.078433681366667,0.16129692060776496
34359,2S,4.167472943396227,0.2569452376402724
35494,PSP,4.149752505675676,0.041513617821906476
35495,PSP,4.587032052833333,1.7370550815214956
35496,PSP,4.117713645161291,0.027867052029889733
35499,PSP,4.25471765,0.04123239665947923
35500,PSP,4.195957857142857,0.06363544831402511
35501,PSP,4.204948892857143,0.1290032428559781
35713,PSS,3.995375832357143,0.032335192923009036
35714,PSS,4.282672191694444,0.3049299125088122
35717,2S,3.956623285714286,0.051720702118388286
35718,2S,4.011420416666667,0.08118174779544472
35719,2S,3.9899460448235295,0.046181991476332084
35722,2S,4.108104833333333,0.23355811902499266
35952,2S,4.082759464285714,0.06823232218893743
35953,2S,4.4249109,0.3965327541389974
35957,2S,4.23550834375,0.06722434774818081
35958,2S,4.3006055000000005,0.07969435992590695
35959,2S,4.045071942923077,0.06633368136748424
35960,2S,3.975847101346154,0.018682808512193717
35961,2S,4.036538264413793,0.10847809476297098
35962,2S,3.9953469633928576,0.05121147419055685
35963,2S,3.8976451923076922,0.7686907206986185
36236,PSS,3.9677567167666665,0.03696184411123274
36237,PSS,4.031486311529412,0.17842759681054093
36238,2S,3.8387793846153846,0.03361049419699379
36239,2S,4.06089125,0.03785753963301401
36240,2S,4.091223791666667,0.14585129202092154
36241,2S,4.1412271,0.08898991070009318
36245,2S,3.8008270800000004,0.019995036408902326
36246,2S,3.765511192307692,0.07480489644509597
36696,PSS,3.823334,0.04688840686878051
36697,PSS,3.9102633333333334,0.23915834022775112
36698,2S,4.03990125,0.09076633131223026
36699,2S,4.043673105263158,0.04595239486189867
36700,2S,4.3500643000000006,0.19517873311001777
36701,2S,4.409195800000001,0.05384504463208822
36702,2S,4.373438101375,0.2862465526396388
36703,2S,4.179174469066667,0.04464052910597145
36704,2S,4.250870918066667,0.0784324632838384
36705,2S,4.1011091419,0.04731608536299034
36706,2S,4.1504259,0.3017951709510242
36795,2S,3.86597825,0.02140369689573147
36796,2S,3.9050500833333337,0.07624650086791813
36797,2S,4.144247041666667,0.05211953396007662
36798,2S,4.3565754914,0.34104350768899055
36799,2S,3.9636747107333337,0.03058311564060301
36800,2S,4.16297755,0.1185159382736859
36801,2S,4.0612302,0.019005317947187347
36802,2S,4.04653355,0.03378571852047481
36803,2S,4.1163785,0.09977141011866406
37079,2S,4.236683,0.18656498425731785
37081,2S,4.2309342,0.1373011377545528
37083,2S,3.925451461321429,0.04465989719931365
37084,2S,4.151447198785714,0.18665493747137313
37085,2S,4.452241371185186,1.8469779354968987
37086,2S,4.293853159461539,0.28557912475429953
37087,2S,3.9214422083333336,0.03229953856310483
37088,2S,3.612117083333333,1.070313206346056
37398,PSS,3.885689708333333,0.032187936968723886
37399,PSS,3.8932876923076924,0.09184246103791814
37400,2S,4.110939571428571,0.04533303349970861
37401,2S,4.1657748,0.17811905117751714
37402,2S,3.9566137613214285,0.031154596758758164
37403,2S,4.032682526875,0.05927155247998056
37404,2S,4.217614575000001,0.1505266177539899
37405,2S,4.235377340909091,0.17989245748591853
37406,2S,4.055620458333333,0.0413790931425828
