Name,Type,Average,Std.dev
35715,2S,2213.00,39.00
35716,2S,2268.00,32.00
35720,2S,1878.00,29.00
35721,2S,1959.00,24.00
35954,PS-s,1903.00,12.00
35955,PS-s,1886.00,36.00
36243,2S,1909.00,18.00
36244,2S,1924.00,21.00
36793,PS-s,1978,19
36794,PS-s,1936,26.00
37077,PS-s,1952,24.00
37078,PS-s,1933,23.00
37400,2S,1898,48
37401,2S,1883,14
37408,2S,1960,20
37897,2S,1960,20
37904,2S,1970,20
37905,2S,1920,20
38196,2S,1910,20
38199,2S,1860,20
38714,2S,1880,20
38715,2S,1970,20
38869,2S,1940,20
38870,2S,1910,20
