Name,Type,Average,Std.dev
35715,2S,50.20,2.86
35716,2S,48.81,1.14
35720,2S,47.91,1.23
35721,2S,48.81,1.14
35497,PS-p,58.32,1.72
35498,PS-p,57.58,1.28
35954,PS-s,49.80,0.84
35955,PS-s,49.82,1.07
36243,2S,52.72,0.72
36244,2S,53.20,0.86
36232,PS-p,59.80,1.72
36233,PS-p,60.34,1.70
36234,PS-p,59.53,1.71
36235,PS-p,58.04,1.53
36793,PS-s,49.16,1.08
36794,PS-s,52.03,3.62
37077,PS-s,48.72,2.91
37078,PS-s,49.38,1.40
37400,2S,48.23,0.9
37401,2S,48.48,1.6
37408,2S,49.42,0.83
37897,2S,48.99,0.85
37904,2S,49.2,1.27
37905,2S,50.79,2.6
38196,2S,48.54,1.35
38199,2S,48.81,1.76
38714,2S,49.33,1.61
38715,2S,46.74,0.86
38869,2S,47.38,1.29
38870,2S,48.91,1.05
