,Name,Mode,CAP_E,CAP_W,VDPPoly_std,VDPPoly_rot,VDPPstop_std,VDPPstop_rot,VDPStrip_std,VDPStrip_rot,FET_Vth,C_acc,t_ox,VFB,Nox
0,VPX38715_010_2-S_HM_E_Left,Extended,2.4478400000000002,2.44255,1.99318,1.9972400000000001,19.0156,18.9187,34.6665,34.8184,4.08959,88.0927,0.652308,-2.45763,54467500000.0
1,VPX38715_010_2-S_HM_W_Left,Extended,2.46853,2.43971,1.9855599999999998,1.9737900000000002,18.9714,18.7957,34.973,35.0993,4.066669999999999,87.7059,0.655185,-2.51072,55334000000.0
2,VPX38715_032_2-S_HM_E_Left,Extended,2.46647,2.46265,1.95563,1.9409599999999998,18.8501,18.8475,34.7432,34.8604,4.26847,88.7871,0.647207,-2.39304,52542200000.0
3,VPX38715_032_2-S_HM_W_Left,Extended,2.45147,2.4519599999999997,1.9450599999999998,1.97243,19.3598,19.4431,34.9772,35.1306,4.07568,87.8517,0.654098,-2.63793,59918600000.0
4,VPX38715_039_2-S_HM_E_Left,Extended,2.44814,2.4702900000000003,1.97131,1.9670599999999998,18.8834,18.8559,34.7255,34.6784,4.26847,88.9454,0.646055,-2.48695,55545700000.0
5,VPX38715_039_2-S_HM_W_Left,Extended,2.4702,2.45471,1.9616799999999999,1.9783400000000002,19.2926,19.3861,34.9616,34.9768,4.18198,88.3012,0.650768,-2.7886900000000003,65161000000.0
6,VPX38715_007_2-S_HM_E_Left,Quick,2.4549,2.46647,1.98344,1.9974900000000002,18.805999999999997,18.8825,34.8123,34.6153,4.17317,87.9937,0.653042,-2.45814,54467900000.0
7,VPX38715_007_2-S_HM_W_Left,Quick,2.4535299999999998,2.4695099999999996,1.9554099999999999,1.98027,18.794,18.9859,34.9302,35.3372,4.066669999999999,87.6917,0.655291,-3.32449,82345500000.0
8,VPX38715_015_2-S_HM_E_Left,Quick,2.44725,2.4701,1.9850900000000002,1.98072,19.1953,18.8588,34.7355,34.7672,4.06867,88.3778,0.650204,-2.61143,59258500000.0
9,VPX38715_015_2-S_HM_W_Left,Quick,2.45059,2.43882,1.9615099999999999,2.00273,19.1098,19.2439,34.9373,35.0792,4.08108,87.3393,0.657935,-2.53285,55944300000.0
10,VPX38715_028_2-S_HM_E_Left,Quick,2.46824,2.44559,1.95695,1.9523599999999999,18.7026,18.7488,34.4924,34.7617,4.25405,88.5068,0.649256,-2.43296,53556000000.0
11,VPX38715_028_2-S_HM_W_Left,Quick,2.4701,2.45951,1.95468,1.96931,19.9324,19.7392,34.7538,35.0456,3.9225199999999996,86.9898,0.660579,-2.78652,63886800000.0
12,VPX38715_041_2-S_HM_E_Left,Quick,2.4647099999999997,2.4719599999999997,1.96226,1.95393,18.9327,18.9026,34.4618,34.5598,4.23123,88.87899999999999,0.646537,-2.52063,56578000000.0
13,VPX38715_041_2-S_HM_W_Left,Quick,2.43755,2.44657,1.94888,1.9656200000000001,19.4989,19.3399,34.7804,35.2517,4.08959,88.1015,0.652243,-2.42537,52952200000.0
14,VPX38715_010_2-S_HM_E_Right,Extended,,,1.9525299999999999,1.9829299999999999,19.1654,19.230999999999998,34.8695,34.966,4.07528,,,,
15,VPX38715_010_2-S_HM_W_Right,Extended,,,2.01993,1.98795,18.7725,19.2046,34.7357,34.858000000000004,4.16116,,,,
16,VPX38715_032_2-S_HM_E_Right,Extended,,,1.94945,1.9487599999999998,19.4398,19.4833,34.8529,34.9251,4.05445,,,,
17,VPX38715_032_2-S_HM_W_Right,Extended,,,1.98125,1.9618099999999998,19.0822,19.0171,34.8546,34.9148,4.27568,,,,
18,VPX38715_039_2-S_HM_E_Right,Extended,,,1.94045,1.9626099999999997,19.2499,19.2374,34.6882,34.8783,4.2108099999999995,,,,
19,VPX38715_039_2-S_HM_W_Right,Extended,,,1.99111,1.9870299999999999,18.9716,19.0525,34.9049,34.9315,4.26136,,,,
20,VPX37897_005_2-S_HM_E_Right,Extended,,,1.97131,1.9379400000000002,18.125,18.1913,34.6991,34.6777,4.07568,,,,
21,VPX37897_005_2-S_HM_W_Right,Extended,,,1.9899200000000001,1.9847299999999999,18.3065,18.2636,34.8709,35.1295,4.08609,,,,
22,VPX37897_018_2-S_HM_E_Right,Extended,,,1.9725599999999999,1.95111,18.8188,18.7707,34.6959,34.9212,4.02803,,,,
23,VPX37897_018_2-S_HM_W_Right,Extended,,,1.9901900000000001,1.98921,18.6251,18.6152,34.7728,34.9012,4.04665,,,,
24,VPX37897_043_2-S_HM_E_Right,Extended,,,1.9367,1.92205,18.8474,18.727999999999998,34.6112,34.8928,4.05225,,,,
25,VPX37897_043_2-S_HM_W_Right,Extended,,,1.97837,1.94495,18.3158,18.4986,34.1971,34.9946,4.0955,,,,
26,VPX37897_001_2-S_HM_E_Left,Quick,2.4648,2.43971,1.9486900000000003,1.9529900000000002,18.0524,18.0031,34.6307,34.8748,4.066669999999999,87.4578,0.657044,-2.6633299999999998,60797100000.0
27,VPX37897_001_2-S_HM_W_Left,Quick,2.44676,2.41765,1.97012,1.9719799999999998,18.7108,18.6992,34.9363,34.9958,4.0026,85.6344,0.671034,-2.80971,63572300000.0
28,VPX37897_012_2-S_HM_E_Left,Quick,2.4501,2.44735,1.9764599999999999,1.96252,18.2736,18.4315,34.7991,34.7186,4.04024,87.16,0.659289,-2.8662799999999997,66734800000.0
29,VPX37897_012_2-S_HM_W_Left,Quick,2.46922,2.4452,1.96059,1.9549,18.7839,18.8486,34.9888,34.952,4.0026,85.4498,0.672484,-2.78482,62981800000.0
30,VPX37897_026_2-S_HM_E_Left,Quick,2.4636299999999998,2.44618,1.93598,1.92677,17.9893,18.0563,34.9329,34.7458,4.2041,87.7517,0.6548430000000001,-2.6012,58642500000.0
31,VPX37897_026_2-S_HM_W_Left,Quick,2.43657,2.46,1.94658,1.9517799999999998,19.0477,19.0099,34.2056,34.2204,3.88288,85.5646,0.6715810000000001,-2.72436,60702500000.0
32,VPX37897_039_2-S_HM_E_Left,Quick,2.4699,2.45559,1.9413200000000002,1.9406900000000002,18.1902,18.2329,34.9314,34.601,4.21842,87.6219,0.655813,-2.75588,63560600000.0
33,VPX37897_039_2-S_HM_W_Left,Quick,2.48529,2.44216,1.96954,1.95638,18.8654,18.942,35.1316,34.5217,4.01351,86.5293,0.664094,-2.65088,59408800000.0
34,VPX37897_005_2-S_HM_E_Left,Extended,2.4443099999999998,2.44382,1.98383,1.95107,17.9572,17.8569,34.6147,34.7057,4.0955,86.8117,0.661934,-2.68873,61199200000.0
35,VPX37897_005_2-S_HM_W_Left,Extended,2.45637,2.4702,1.96574,1.98396,18.566,18.5834,34.5418,35.4933,4.04645,85.8202,0.6695810000000001,-2.74599,61871500000.0
36,VPX37897_018_2-S_HM_E_Left,Extended,2.445,2.47363,1.9923099999999998,1.97885,18.5378,18.6844,34.349000000000004,35.0352,3.96126,86.4122,0.664994,-2.83452,65343800000.0
37,VPX37897_018_2-S_HM_W_Left,Extended,2.4452,2.4695099999999996,1.9741,1.9578,18.9212,18.8336,34.5227,35.4382,3.99369,85.6702,0.6707529999999999,-2.78023,63036100000.0
38,VPX37897_043_2-S_HM_E_Left,Extended,2.46667,2.4708799999999997,1.9351,1.95042,18.4209,18.7977,34.3913,35.0063,4.21842,87.6017,0.655964,-2.67034,60930700000.0
39,VPX37897_043_2-S_HM_W_Left,Extended,2.45549,2.46265,1.95792,1.94302,18.8769,18.9268,35.0057,35.2109,3.97508,86.9085,0.661196,-2.7805299999999997,63929900000.0
40,VPX37408_004_2-S_HM_E_Left,Quick,2.44814,2.4434299999999998,1.97879,1.96238,17.1168,17.155,34.6611,34.4431,4.08288,87.3905,0.65755,-2.6204,59362900000.0
41,VPX37408_004_2-S_HM_W_Left,Quick,2.47873,2.45892,2.00631,1.9985099999999998,17.5261,17.5604,34.3784,34.5038,3.9844800000000005,85.6429,0.670967,-2.79536,63193900000.0
42,VPX37408_016_2-S_HM_E_Left,Quick,2.4551,2.46971,1.9635200000000002,1.96252,17.4011,17.2862,34.5913,34.655,4.06126,87.7441,0.654899,-2.78348,64577800000.0
43,VPX37408_016_2-S_HM_W_Left,Quick,2.47765,2.4352,1.98012,1.9824,17.8794,17.8374,34.4441,34.4994,3.8936900000000003,86.3466,0.665499,-2.81277,64765700000.0
44,VPX37408_027_2-S_HM_E_Left,Quick,2.46255,2.45863,1.93682,1.92986,17.5839,17.514,34.613,34.571999999999996,4.174169999999999,87.6371,0.6557,-2.73726,62973600000.0
45,VPX37408_027_2-S_HM_W_Left,Quick,2.45706,2.45186,1.9575599999999997,1.9474,18.1909,18.0524,34.4679,34.7544,4.03904,86.8356,0.661751,-2.77196,63371500000.0
46,VPX37408_034_2-S_HM_E_Left,Quick,2.43382,2.4504900000000003,1.9537799999999999,1.9051099999999999,17.9337,17.8064,34.8354,34.9194,4.18979,87.9258,0.653546,-2.65979,60987200000.0
47,VPX37408_034_2-S_HM_W_Left,Quick,2.42853,2.45265,1.9678799999999999,1.95091,18.3518,18.3539,34.4766,34.617,4.04955,87.0237,0.660321,-2.8358,65604000000.0
48,VPX37408_010_2-S_HM_E_Right,Extended,,,1.92429,1.9204599999999998,17.9786,17.9551,34.3358,34.4457,3.97508,,,,
49,VPX37408_010_2-S_HM_W_Right,Extended,,,1.94796,1.94115,17.992,17.8973,34.6751,34.8526,3.9976,,,,
50,VPX37408_021_2-S_HM_E_Right,Extended,,,1.9107900000000002,1.8953200000000001,18.4298,18.5402,34.4932,34.5112,3.8696699999999997,,,,
51,VPX37408_021_2-S_HM_W_Right,Extended,,,1.94298,1.9503599999999999,18.3251,18.3538,34.7826,34.8154,3.9976,,,,
52,VPX37408_046_2-S_HM_E_Right,Extended,,,1.95061,1.9556200000000001,18.3148,17.4727,34.1421,34.3098,3.9833800000000004,,,,
53,VPX37408_046_2-S_HM_W_Right,Extended,,,1.97585,1.9617799999999999,18.305,18.3267,34.674,34.8608,4.05445,,,,
54,VPX37408_010_2-S_HM_E_Left,Extended,2.46588,2.47696,1.9627,1.95577,17.6718,17.5801,34.6149,35.6589,4.2108099999999995,86.2863,0.665964,-2.71805,61680100000.0
55,VPX37408_010_2-S_HM_W_Left,Extended,2.4422599999999997,2.4689200000000002,1.9710599999999998,1.95763,18.1663,18.3724,34.6138,34.5717,3.86056,86.4293,0.664863,-2.93423,68018300000.0
56,VPX37408_021_2-S_HM_E_Left,Extended,2.4622599999999997,2.4748,1.9341599999999999,1.9131,18.4175,18.4451,34.6387,34.2232,3.98799,87.8288,0.6542680000000001,-2.8362700000000003,66288700000.0
57,VPX37408_021_2-S_HM_W_Left,Extended,2.45863,2.43392,1.94346,1.93272,18.6958,18.6527,34.8875,34.5316,3.78438,86.6137,0.663447,-2.9224799999999997,68052600000.0
58,VPX37408_046_2-S_HM_E_Left,Extended,2.46412,2.4529400000000003,1.9942,1.95337,18.0866,18.0755,34.4567,34.5539,4.06867,88.09100000000001,0.652321,-2.72181,62804100000.0
59,VPX37408_046_2-S_HM_W_Left,Extended,2.4830400000000004,2.4699,1.98115,2.00027,18.5255,18.3112,34.5956,34.6167,3.9833800000000004,87.4988,0.656736,-2.9595599999999997,69621200000.0
60,VPX37078_001_PSS_HM_E_Left,Quick,2.46216,2.44137,1.94308,1.9439099999999998,18.246,18.2741,34.6957,34.5792,4.01892,88.3568,0.650358,-2.6097200000000003,60750700000.0
61,VPX37078_001_PSS_HM_W_Left,Quick,2.4895099999999997,2.45255,1.9686400000000002,1.9904700000000002,18.7117,18.6823,34.8637,35.2186,3.97508,86.6724,0.6629970000000001,-2.74465,63300700000.0
62,VPX37078_014_PSS_HM_E_Left,Quick,2.47127,2.46157,1.92775,1.93277,18.374000000000002,18.3109,34.6965,34.7679,3.97508,87.6002,0.655975,-2.73363,64030100000.0
63,VPX37078_014_PSS_HM_W_Left,Quick,2.4517599999999997,2.475,1.9090200000000002,1.8973799999999998,16.9187,17.0381,34.7794,34.8959,3.86056,88.1422,0.651942,-2.7635099999999997,65356100000.0
64,VPX37078_027_PSS_HM_E_Left,Quick,2.46088,2.48431,1.89763,1.89664,18.3902,18.2417,34.7019,34.9909,4.08609,88.3924,0.650096,-2.52275,57867000000.0
65,VPX37078_027_PSS_HM_W_Left,Quick,2.4803900000000003,2.4852,1.91747,1.91924,18.6383,18.6942,35.1829,35.2206,3.9989999999999997,87.4371,0.657199,-3.0102,72893800000.0
66,VPX37078_048_PSS_HM_E_Left,Quick,2.47059,2.43725,1.9046900000000002,1.8933,18.7051,18.6001,34.5832,34.7901,3.97508,88.2137,0.651414,-2.68352,62766700000.0
67,VPX37078_048_PSS_HM_W_Left,Quick,2.4689200000000002,2.45814,1.9311900000000002,1.9460099999999998,18.8995,18.9329,35.2612,35.3326,3.86487,87.7802,0.65463,-2.99349,72429500000.0
68,VPX37078_031_PSS_HM_E_Left,Extended,2.47304,2.47284,1.91068,1.9191099999999999,18.1104,18.0876,34.6527,34.7643,4.26216,87.3568,0.657803,-2.68554,61985000000.0
69,VPX37078_031_PSS_HM_W_Left,Extended,2.45127,2.47255,1.9492599999999998,1.95649,18.2651,18.2033,35.2698,35.1635,4.17317,86.9093,0.661191,-2.6212299999999997,59547400000.0
70,VPX37078_005_PSS_HM_E_Right,Extended,,,1.93018,1.9374099999999999,18.4175,18.5257,34.7426,34.959,4.02803,,,,
71,VPX37078_005_PSS_HM_W_Right,Extended,,,1.9655200000000002,1.9722400000000002,19.2997,18.414,34.9853,35.0757,4.05445,,,,
72,VPX37078_017_PSS_HM_E_Right,Extended,,,1.9070900000000002,1.9324299999999999,18.3593,18.2673,34.805,34.9752,3.9733699999999996,,,,
73,VPX37078_017_PSS_HM_W_Right,Extended,,,1.9620400000000002,1.9709999999999999,18.1349,18.358,34.6588,34.8705,3.99459,,,,
74,VPX37078_031_PSS_HM_E_Right,Extended,,,1.9133900000000001,1.91515,18.2712,18.3058,34.7686,34.8684,4.18198,,,,
75,VPX37078_031_PSS_HM_W_Right,Extended,,,1.93658,1.9379,18.2061,18.2344,34.8524,34.9402,4.26026,,,,
76,VPX36794_002_PSS_HM_E_Left,Quick,2.4551,2.4434299999999998,1.9570599999999998,1.9406,18.8899,18.8349,34.5094,36.1093,4.4709699999999994,88.1295,0.652036,-1.9036099999999998,37636300000.0
77,VPX36794_002_PSS_HM_W_Left,Quick,2.47402,2.4748,1.9544599999999999,1.96328,22.2703,22.0543,34.7372,34.889,2.87467,86.9573,0.660825,-2.09788,42906300000.0
78,VPX36794_015_PSS_HM_E_Left,Quick,2.45627,2.46765,1.9219,1.9202400000000002,19.0101,18.8992,34.4682,34.7979,4.381480000000001,88.1473,0.651904,-2.17855,46069000000.0
79,VPX36794_015_PSS_HM_W_Left,Quick,2.4579400000000002,2.46647,1.93651,1.93745,21.3688,21.3728,34.7678,34.9709,3.1729700000000003,87.4705,0.656948,-2.1968099999999997,46732800000.0
80,VPX36794_026_PSS_HM_E_Left,Quick,2.4717599999999997,2.46539,1.88399,1.8798700000000002,19.1789,19.9412,34.3993,34.5991,4.0610599999999994,88.6361,0.648309,-1.96345,39095700000.0
81,VPX36794_026_PSS_HM_W_Left,Quick,2.4693099999999997,2.45078,1.8819,1.89418,23.581,23.2254,34.7538,34.9861,2.48769,87.87,0.653961,-2.09999,43243700000.0
82,VPX36794_035_PSS_HM_E_Left,Quick,2.47931,2.46863,1.92031,1.9150900000000002,18.9737,18.9014,34.6021,34.8316,4.45185,88.79899999999999,0.64712,-2.03913,41748800000.0
83,VPX36794_035_PSS_HM_W_Left,Quick,2.4405900000000003,2.45304,1.91175,1.9221099999999998,23.1111,23.0532,34.7679,34.9184,2.46026,88.0471,0.652646,-2.07227,42650400000.0
84,VPX36794_008_PSS_HM_E_Left,Extended,2.48402,2.47578,1.9697,1.94048,19.1663,18.9826,34.4743,34.7092,4.474469999999999,87.7346,0.6549699999999999,-1.97033,39599300000.0
85,VPX36794_008_PSS_HM_W_Left,Extended,2.46157,2.44755,1.95734,1.9377900000000001,21.6422,21.7656,34.3577,34.8743,3.1729700000000003,87.2176,0.658853,-2.21097,46562300000.0
86,VPX36794_019_PSS_HM_E_Left,Extended,2.4598,2.45245,1.9398900000000001,1.92179,18.6845,18.5639,34.5267,34.6742,4.4709699999999994,88.13,0.652032,-2.1489700000000003,45222000000.0
87,VPX36794_019_PSS_HM_W_Left,Extended,2.43814,2.45637,1.96743,1.9852900000000002,19.5307,19.5307,34.7248,35.0018,3.7275300000000002,87.7237,0.6550520000000001,-2.21053,47036600000.0
88,VPX36794_043_PSS_HM_E_Left,Extended,2.4549,2.4618599999999997,1.94291,1.9261,18.6849,18.627,34.5755,34.4955,4.41181,88.7356,0.647582,-2.0043900000000003,40477100000.0
89,VPX36794_043_PSS_HM_W_Left,Extended,2.4409799999999997,2.4710799999999997,1.92403,1.93382,21.9953,21.8887,34.5572,34.888000000000005,2.84745,87.8876,0.653831,-2.10475,43600300000.0
